Position_x,Potential_Barrier_V,Total_Energy_E,Wavefunction_Shifted,Probability_Density_Shifted
-4.0,0.0,1.0,1.6089830531697524,1.5080278891067858
-3.99,0.0,1.0,1.63920432547783,1.5597016023418733
-3.98,0.0,1.0,1.6653368714548802,1.6064015787909147
-3.97,0.0,1.0,1.687213531986711,1.6469348473228087
-3.96,0.0,1.0,1.7046943711023275,1.6802659680319243
-3.95,0.0,1.0,1.7176675710865905,1.7055434829990777
-3.94,0.0,1.0,1.7260501477320132,1.7221216671529835
-3.93,0.0,1.0,1.729788481154488,1.7295770235969514
-3.92,0.0,1.0,1.7288586587775683,1.7277191020205969
-3.91,0.0,1.0,1.7232666282913494,1.7165953638355305
-3.9,0.0,1.0,1.7130481596075504,1.696489969753034
-3.89,0.0,1.0,1.6982686160541487,1.6679165207755837
-3.88,0.0,1.0,1.6790225362731368,1.631604938036717
-3.87,0.0,1.0,1.6554330294958421,1.588482816649449
-3.86,0.0,1.0,1.6276509880639634,1.5396517298872183
-3.85,0.0,1.0,1.5958541222335263,1.4863590890173781
-3.84,0.0,1.0,1.5602458234356924,1.4299662776399136
-3.83,0.0,1.0,1.5210538632657036,1.3719138745535817
-3.82,0.0,1.0,1.478528936521956,1.3136848535463481
-3.81,0.0,1.0,1.4329430576148257,1.256766700187499
-3.8,0.0,1.0,1.3845878206027047,1.2026134133642987
-3.79,0.0,1.0,1.3337725339851398,1.152608362250495
-3.78,0.0,1.0,1.2808222421839661,1.1080289475414111
-3.77,0.0,1.0,1.226075646368272,1.07001396969977
-3.76,0.0,1.0,1.1698829379227538,1.0395345378044742
-3.75,0.0,1.0,1.1126035584179363,1.017369262148468
-3.74,0.0,1.0,1.0546039004107375,1.0040843643014599
-3.73,0.0,1.0,0.9962549637824639,1.0000192127346172
-3.7199999999999998,0.0,1.0,0.9379299826056524,1.0052776535059378
-3.71,0.0,1.0,0.8800020377197008,1.0197253574677043
-3.7,0.0,1.0,0.8228416702866683,1.0429932517627638
-3.69,0.0,1.0,0.7668145115923545,1.0744869479505645
-3.68,0.0,1.0,0.7122789442538329,1.1134019259173822
-3.67,0.0,1.0,0.6595838097937021,1.1587440856911924
-3.66,0.0,1.0,0.6090661772448198,1.209355142156135
-3.65,0.0,1.0,0.5610491870587571,1.2639422139476413
-3.64,0.0,1.0,0.5158399841096765,1.3211108506670115
-3.63,0.0,1.0,0.47372775301528536,1.3794006547210143
-3.62,0.0,1.0,0.43498186834217123,1.4373225878111007
-3.61,0.0,1.0,0.3998501715278294,1.4933970090618847
-3.6,0.0,1.0,0.3685573855412623,1.546191473088337
-3.59,0.0,1.0,0.3413036774228557,1.5943573224337717
-3.58,0.0,1.0,0.31826337789842285,1.636664139608861
-3.57,0.0,1.0,0.299583866257471,1.6720311786394961
-3.56,0.0,1.0,0.28538462762870487,1.6995549731909108
-3.55,0.0,1.0,0.275756488682951,1.7185324160066417
-3.54,0.0,1.0,0.2707610366524258,1.7284787200880065
-3.53,0.0,1.0,0.2704302253826181,1.7291398027880238
-3.52,0.0,1.0,0.27476617093672684,1.720498776462708
-3.51,0.0,1.0,0.2837411380600764,1.702776379873253
-3.5,0.0,1.0,0.29729771759109636,1.6764253393187432
-3.49,0.0,1.0,0.3153491936840429,1.642118803546699
-3.48,0.0,1.0,0.3377800984944842,1.6007331478766782
-3.4699999999999998,0.0,1.0,0.36444695077945577,1.5533255868130569
-3.46,0.0,1.0,0.39517917368777233,1.5011071670424738
-3.45,0.0,1.0,0.4297801858697665,1.4454118307215316
-3.44,0.0,1.0,0.468028658927071,1.3876623393464802
-3.4299999999999997,0.0,1.0,0.5096799331590569,1.329333928694393
-3.42,0.0,1.0,0.5544675825499941,1.2719166232860908
-3.41,0.0,1.0,0.6021051189863494,1.2168771730642016
-3.4,0.0,1.0,0.6522878248030388,1.1656215846304139
-3.39,0.0,1.0,0.7046947019365959,1.119459204197693
-3.38,0.0,1.0,0.7589905252173539,1.079569269773982
-3.37,0.0,1.0,0.8148279866665222,1.0469707870164022
-3.36,0.0,1.0,0.8718499170820444,1.0224964982902451
-3.35,0.0,1.0,0.9296915707025948,1.006771609904477
-3.34,0.0,1.0,0.9879829583357369,1.0001978209456994
-3.33,0.0,1.0,1.0463512140261084,1.002943061700951
-3.32,0.0,1.0,1.104422980125111,1.0149372038057662
-3.31,0.0,1.0,1.1618267955057198,1.03587385170363
-3.3,0.0,1.0,1.2181954716460643,1.065218169653217
-3.29,0.0,1.0,1.2731684413828812,1.102220544339113
-3.2800000000000002,0.0,1.0,1.3263940653109019,1.145935734068736
-3.27,0.0,1.0,1.3775318810750323,1.1952470153808936
-3.26,0.0,1.0,1.4262547811675574,1.248894710230414
-3.25,0.0,1.0,1.4722511052999074,1.3055083650095676
-3.24,0.0,1.0,1.515226633964934,1.3636417593792278
-3.23,0.0,1.0,1.5549064704376971,1.4218098505940042
-3.2199999999999998,0.0,1.0,1.5910367991763872,1.4785267095625603
-3.21,0.0,1.0,1.6233865093756235,1.5323434795500335
-3.2,0.0,1.0,1.651748673286924,1.5818853878510488
-3.19,0.0,1.0,1.675941869850126,1.6258868649540887
-3.1799999999999997,0.0,1.0,1.6958113451690533,1.663223874062969
-3.17,0.0,1.0,1.7112300024083396,1.69294262510379
-3.16,0.0,1.0,1.722099214779445,1.7142839397056038
