Position_x,Potential_V,Time_0.00,Time_0.30,Time_0.60,Time_0.90,Time_1.20,Time_1.50,Time_1.80,Time_2.10,Time_2.40,Time_2.70,Time_3.00,Time_3.30,Time_3.60,Time_3.90,Time_4.20,Time_4.50,Time_4.80,Time_5.10,Time_5.40,Time_5.70,Time_6.00,Time_6.30,Time_6.60,Time_6.90,Time_7.20,Time_7.50,Time_7.80,Time_8.10,Time_8.40,Time_8.70,Time_9.00,Time_9.30,Time_9.60,Time_9.90,Time_10.20,Time_10.50,Time_10.80,Time_11.10,Time_11.40,Time_11.70,Time_12.00,Time_12.30,Time_12.60,Time_12.90,Time_13.20,Time_13.50,Time_13.80,Time_14.10,Time_14.40,Time_14.70
-50.0,0.0,7.248401483494733e-136,9.286031273913883e-137,1.003015984260199e-121,7.27000105611386e-108,6.404100605206967e-96,1.5786910116682763e-85,1.1827143677975369e-76,5.893304037963025e-69,9.581652141039481e-62,4.0510673793787484e-55,8.488405123462964e-50,3.18672563385097e-45,6.552378225335132e-41,2.2705870975666283e-37,7.304979596671404e-35,3.29984215359259e-33,4.641364145783859e-32,1.8790712623266856e-31,1.4270776442845225e-31,6.193188340395232e-31,1.3144951589218691e-30,6.0825400303828785e-31,4.297437372237607e-32,5.912784299248148e-31,1.6065019653616837e-30,1.2699587298547611e-30,8.663627980537518e-31,1.2361017742028858e-31,6.849264667862645e-31,1.556601428228891e-31,2.1158316796112155e-31,4.5257466091320176e-32,1.4086416160351889e-30,4.090581230368423e-28,9.668221726950827e-26,1.367667219283029e-23,1.1978192954937969e-21,6.759594534304542e-20,2.5605140368610566e-18,6.764457812265584e-17,1.2913696818214767e-15,1.8404125882307918e-14,2.0168685260930729e-13,1.745585599962826e-12,1.222165574373377e-11,7.072544759501738e-11,3.4483544188102766e-10,1.441024756666128e-09,5.240587263855508e-09,1.6812947402350536e-08
-49.949974987493746,0.0,7.023701533100473e-135,1.542161051049008e-136,3.671537846879593e-121,2.600467011659741e-107,2.2530504649447816e-95,5.448876179902787e-85,3.9937293802674116e-76,1.940827111805158e-68,3.2013054149273875e-61,1.3395171397455012e-54,2.7737822503254898e-49,1.0540087656462632e-44,2.1327485785361535e-40,7.349045035249209e-37,2.3465432410706608e-34,1.0432949496499725e-32,1.3319480427320714e-31,5.336055422801958e-31,3.754277963693998e-31,1.5837488225756934e-30,3.419649317793713e-30,1.83029274671325e-30,1.8769179698787045e-31,1.9815411569337503e-30,5.0242399293487365e-30,4.2766360099691824e-30,3.065534643481082e-30,3.6699307000009156e-31,2.3345288189218377e-30,3.3944241862211978e-31,7.99463585874542e-31,1.6171878432789661e-31,5.34338518005537e-30,1.5095943005240174e-27,3.5554651431855987e-25,5.043009101395526e-23,4.427980137793713e-21,2.505417106199828e-19,9.515764464296404e-18,2.520601395139876e-16,4.824603263992598e-15,6.893531013587648e-14,7.573355040607956e-13,6.570522356547846e-12,4.61102580026174e-11,2.6743054363873795e-10,1.3066924766639325e-09,5.471641971413957e-09,1.9937476345733482e-08,6.408235472456415e-08
-49.89994997498749,0.0,3.5572960345662436e-134,2.6463514993493396e-136,7.4206792052898405e-121,5.013082659121484e-107,4.195314203448124e-95,9.757337458551395e-85,6.840089342637021e-76,3.1719359781118535e-68,5.346430009308863e-61,2.189308699037736e-54,4.406582931315715e-49,1.714424024294335e-44,3.353091969561084e-40,1.1421605263189028e-36,3.5821378469953256e-34,1.544030590889479e-32,1.626848215329817e-31,6.392469203231618e-31,3.785134963175517e-31,1.5028182809553088e-30,3.410268148222812e-30,2.518797540702555e-30,4.828668795178055e-31,3.432642905249874e-30,7.559902973029992e-30,7.33198860545971e-30,5.6654543152763386e-30,6.063897992013286e-31,4.2326939761820346e-30,2.725154293617952e-31,1.634153602101805e-30,3.3720865941020994e-31,1.0903071219592503e-29,2.9600607890375174e-27,6.939701656512062e-25,9.886292287134365e-23,8.717677781421268e-21,4.954527183930602e-19,1.8902686191925782e-17,5.029727215621008e-16,9.670342737466974e-15,1.3877897890992448e-13,1.5311596177051203e-12,1.3338947854738003e-11,9.398145833385618e-11,5.471528466235248e-10,2.683198304528078e-09,1.1274766324978313e-08,4.121928595618949e-08,1.3290487635366628e-07
-49.84992496248124,0.0,1.0822773638693511e-133,1.1822950808954e-136,1.2469698783353444e-120,7.789770503409591e-107,6.137025566055771e-95,1.3335628259760797e-84,8.640341870044187e-76,3.723941023679205e-68,6.391759465831853e-61,2.51024741073345e-54,4.723852050245941e-49,1.9176236935440645e-44,3.4967229640381545e-40,1.163875240675357e-36,3.492004401776768e-34,1.4210742519240005e-32,1.0250567715076036e-31,3.917815018563588e-31,1.469879211557554e-31,5.032433104663025e-31,1.3932066182458628e-30,2.158303747856947e-30,9.724823987116536e-31,4.488981893072006e-30,7.86460616967262e-30,9.153014236667834e-30,7.736593807448739e-30,1.0058057627768273e-30,5.974158963298154e-30,2.1470886321408225e-31,2.5485278687555492e-30,6.219651629574024e-31,1.653955039681236e-29,4.311532350669641e-27,1.0067954927816119e-24,1.4427654053442939e-22,1.2798109998311131e-20,7.319245189151997e-19,2.810467112537309e-17,7.526862483797459e-16,1.4564989604344687e-14,2.1035093105031953e-13,2.3352037708977094e-12,2.0465614031557702e-11,1.4502712683836187e-10,8.490210985150041e-10,4.1856357493663705e-09,1.7677088753419635e-08,6.493745027555085e-08,2.1034242491718845e-07
-49.799899949974986,0.0,2.8121991443705315e-133,1.3261997514560204e-136,2.0948816031379917e-120,1.1867410852723468e-106,8.619983997610018e-95,1.705639559023268e-84,9.868223526263937e-76,3.907638196291637e-68,6.585920514800109e-61,2.4018641144753854e-54,3.861768560538928e-49,1.6887011419847161e-44,2.6495671202584572e-40,8.377604642998072e-37,2.202647235905381e-34,7.953985687330554e-33,2.040546119907087e-32,8.775856127563352e-32,5.269949952779108e-33,6.570714919123589e-32,2.2722844853818887e-31,1.2061478323448888e-30,1.5934986616431532e-30,5.026127142744119e-30,6.653093142164929e-30,9.386079940449835e-30,8.7081867962403e-30,1.7528862710093975e-30,7.268712709212656e-30,3.85563253680561e-31,3.3840760944500845e-30,1.0616478337226304e-30,2.0335313369941598e-29,5.159737545724123e-27,1.2030530241424502e-24,1.736017020129972e-22,1.5513391644652992e-20,8.943205197267555e-19,3.462877459127104e-17,9.35377182219292e-16,1.8256256584810683e-14,2.6591129116689853e-13,2.9766717491751215e-12,2.6299057221061008e-11,1.878238958251242e-10,1.1078269990478764e-09,5.500808688817486e-09,2.33908186707575e-08,8.648851371169664e-08,2.818906039350952e-07
-49.74987493746873,0.0,6.903509337590814e-133,4.278408342924649e-136,3.7746197096225935e-120,1.9585693235239722e-106,1.3188905468254098e-94,2.3925697216269553e-84,1.2475420904999883e-75,4.750947872597416e-68,7.361166136369136e-61,2.4566133642625783e-54,3.011325248724589e-49,1.4492775796800544e-44,1.7365056354607607e-40,4.922304019964948e-37,8.039524115165628e-35,2.1616888112445326e-33,5.297970462406382e-33,7.857087319801097e-32,1.7089785439316295e-31,9.062481117410484e-31,1.41977002016921e-30,4.0598937213935755e-31,2.1158114257706924e-30,4.941828310383659e-30,5.271052490021909e-30,8.302595309943591e-30,8.449060148546024e-30,2.6465517788081724e-30,7.6430349892746e-30,5.100863339493284e-31,3.933228295699342e-30,1.5428001681949614e-30,2.0933647446537167e-29,5.2971966163947975e-27,1.2377367165178314e-24,1.7979121142246166e-22,1.61932646265503e-20,9.420840160297247e-19,3.6845938292153865e-17,1.0058453655561726e-15,1.9845403885925582e-14,2.9221604613574376e-13,3.3064389528443886e-12,2.9520489348699806e-11,2.1298266651472989e-10,1.268554313932403e-09,6.3581103340595275e-09,2.7278854338288295e-08,1.017260733521907e-07,3.3424449449498504e-07
-49.69984992496248,0.0,1.6596768182998316e-132,2.3889939465740725e-136,7.147064523832753e-120,3.470023759491497e-106,2.2143084715331687e-94,3.8012194892930084e-84,1.8810568381251594e-75,7.295582540565432e-68,1.0401492027191906e-60,3.3316586746547685e-54,3.491973287300591e-49,1.7094696120336577e-44,1.8003656096631713e-40,4.843641756180786e-37,4.741796200632753e-35,1.9355313599348316e-33,6.698578344509532e-32,3.62892447014058e-31,4.521365664824512e-31,1.931573303618657e-30,3.1079418276361198e-30,7.606877316539676e-32,2.2555370839125265e-30,4.182102645659056e-30,4.3129945337664725e-30,6.428783645281857e-30,7.244351165915912e-30,3.2261751990459416e-30,6.84991782897981e-30,4.186980985240824e-31,3.851585532130387e-30,1.7814887321825726e-30,1.8585400388762525e-29,4.8072298792814274e-27,1.1277192669413644e-24,1.6420504070735337e-22,1.486989128633879e-20,8.723007428315809e-19,3.44745871590458e-17,9.52378543607353e-16,1.9032555807547805e-14,2.8398500592001186e-13,3.2565235255822535e-12,2.94618983688964e-11,2.1532342880353741e-10,1.2986218472093753e-09,6.5874038757451845e-09,2.8588670369534087e-08,1.0778134917564753e-07,3.5783333398091237e-07
-49.649824912456225,0.0,3.9597297201619086e-132,1.8706505426577185e-137,1.3672360781384702e-119,6.269749956393862e-106,3.834839949698078e-94,6.331205633862407e-84,3.04748320941887e-75,1.1966512043094555e-67,1.6604398706339135e-60,5.293447204512878e-54,5.751565813031887e-49,2.701259519083399e-44,3.198492075796427e-40,9.192666932022683e-37,1.544040914519976e-34,7.652797766713093e-33,1.2893709112313496e-31,6.025570934079246e-31,4.925875017263526e-31,1.765826221848638e-30,2.8474217282557035e-30,9.901644382709286e-32,1.9032400138739786e-30,2.997437539695415e-30,3.6057705815442836e-30,4.356617798346582e-30,5.6727371850909156e-30,3.268053520091232e-30,5.2786917973303406e-30,4.191343368212808e-31,2.8957442396441754e-30,1.5751408856164852e-30,1.5158231893216895e-29,4.050235266642221e-27,9.464038118724982e-25,1.3619450460552576e-22,1.2269457636235854e-20,7.206490713547807e-19,2.866463776573404e-17,8.000768324685997e-16,1.6198185267812788e-14,2.452779158901287e-13,2.857092948326892e-12,2.6266534949183936e-11,1.950708704434395e-10,1.1951111608549177e-09,6.1553126980613094e-09,2.710672322230489e-08,1.036296757533623e-07,3.4864026189345853e-07
-49.59979989994998,0.0,9.419167423133025e-132,6.415696239248367e-136,2.5955740858921804e-119,1.1220576463339531e-105,6.566779030781564e-94,1.03842004611686e-83,4.813427212360947e-75,1.858612838518704e-67,2.578703146265681e-60,8.10381332090029e-54,9.082060398275067e-49,4.233236368634651e-44,5.347905419516946e-40,1.574014153494702e-36,3.2470453400113657e-34,1.466506853072697e-32,1.188368778536872e-31,5.26157665966717e-31,2.4382605360691505e-31,6.7859270012009505e-31,1.009230740084205e-30,2.7523405591916946e-31,1.2349300463960545e-30,1.829718966673628e-30,2.8576982403190954e-30,2.5516674283454723e-30,4.260354919433747e-30,2.9597616788606375e-30,3.5767835723651016e-30,6.656263091801625e-31,1.4469668019581737e-30,1.046325842921833e-30,1.288300231108419e-29,3.533584997703675e-27,7.989900828876554e-25,1.1003553709713473e-22,9.581953879906481e-21,5.504774788532515e-19,2.165802783856841e-17,6.037128855735128e-16,1.2298846662838643e-14,1.8842184165971858e-13,2.2287607769574647e-12,2.0853250297323664e-11,1.5779470060623077e-10,9.853740542858458e-10,5.172168805511091e-09,2.320164231148583e-08,9.029085525822987e-08,3.0896049557723874e-07
-49.549774887443725,0.0,2.2371385064525565e-131,1.0218858103237672e-135,4.8870720560373014e-119,1.9824022826730842e-105,1.1037067101813092e-93,1.6553103550749564e-83,7.259401830301037e-75,2.707255021260899e-67,3.7413989804687285e-60,1.1339993776702852e-53,1.2255751992992884e-48,5.874557863942643e-44,7.211917203156704e-40,2.0826726629913327e-36,4.345566024735974e-34,1.729303294948224e-32,5.001155599569876e-32,2.3435271819309597e-31,3.5357883300505455e-32,1.8546919731845818e-31,1.602441918295383e-33,4.4108749945733766e-31,5.751666935503219e-31,9.25228616984516e-31,2.0010950732452764e-30,1.2705735116380751e-30,3.1139319501780865e-30,2.620883206286464e-30,2.0920109588980773e-30,8.343429006879528e-31,4.608788947054476e-31,5.301391709030787e-31,1.2970599726008422e-29,3.715219510852215e-27,7.869233190975456e-25,1.0024948067609549e-22,8.083892030743237e-21,4.3342217226808204e-19,1.6127763357257973e-17,4.321906706157476e-16,8.606142747326701e-15,1.307771355981437e-13,1.5521685646084483e-12,1.469371341358458e-11,1.131109612128094e-10,7.208961782795096e-10,3.868178949790427e-09,1.7747477066925784e-08,7.062417302637368e-08,2.4695465705304986e-07
