Spatial_x,Real_Psi,Imag_Psi,Prob_Density
-10.0,-0.0038499766650926196,-1.2251331034743207,1.5009659435489424
-9.97995991983968,0.01810839654294236,-1.224813615194587,1.5004963059913903
-9.959919839679358,0.040052225886088824,-1.2235104106763248,1.49858190583178
-9.939879759519037,0.061963887049111474,-1.2212245365958863,1.495228892082072
-9.919839679358718,0.08382578155283071,-1.2179578288664463,1.4904480345500106
-9.899799599198397,0.1056203508884649,-1.2137129111634757,1.4842546892467219
-9.879759519038076,0.12733009061982237,-1.2084931928175244,1.4766687490635464
-9.859719438877756,0.14893756444211237,-1.2023028660759958,1.4677145798765021
-9.839679358717435,0.17042541818600898,-1.1951469027361177,1.4574209422836113
-9.819639278557114,0.1917763937557496,-1.1870310501518164,1.4458208992264847
-9.799599198396793,0.21297334299008408,-1.1779618266176943,1.432951709792867
-9.779559118236474,0.23399924143491427,-1.167946516133824,1.418854709541252
-9.759519038076153,0.25483720201659077,-1.1569931625555585,1.4035751777319574
-9.739478957915832,0.2754704886048585,-1.1451105631330656,1.3871621918911259
-9.719438877755511,0.29588252945457816,-1.1323082614457631,1.3696684701747661
-9.69939879759519,0.3160569305154266,-1.1185965397373363,1.3511502020391755
-9.67935871743487,0.3359774885988699,-1.1039864106574935,1.3316668677616197
-9.659318637274549,0.3556282043918511,-1.088489608417092,1.3112810473909666
-9.639278557114228,0.374993295306728,-1.0721185793637418,1.290058219741927
-9.619238476953909,0.3940572081571568,-1.0548864719854423,1.2680665520785062
-9.599198396793588,0.412804631649725,-1.0368071263502978,1.2453766811622278
-9.579158316633267,0.43122050868130146,-1.01789506299079,1.2220614863683845
-9.559118236472946,0.4492900484322377,-0.9981654712415267,1.1981958555990617
-9.539078156312625,0.4669987382457066,-0.9776341970398336,1.173856444744802
-9.519038076152304,0.4843323552836239,-0.9563177301990008,1.1491214314675515
-9.498997995991983,0.5012769779498054,-0.9342331911643906,1.1240702640956906
-9.478957915831664,0.5178189970711743,-0.9113983172630578,1.0987834064377302
-9.458917835671343,0.533945126828058,-0.8878314484578974,1.0733420793342792
-9.438877755511022,0.5496424154247619,-0.8635515126178107,1.0478279997784756
-9.418837675350701,0.5648982554918858,-0.8385780103156685,1.0223231184427612
-9.39879759519038,0.5797003942120058,-0.8129309991663118,0.9969093564550932
-9.37875751503006,0.5940369431605927,-0.7866310777171672,0.9716683422700533
-9.358717434869739,0.6078963878542765,-0.7596993689043929,0.9466811494800098
-9.338677354709418,0.6212675969987669,-0.7321575030878738,0.9220280364084918
-9.318637274549099,0.6341398314290146,-0.704027600678679,0.8977881883221965
-9.298597194388778,0.6465027527344468,-0.6753322543728991,0.8740394630895995
-9.278557114228457,0.6583464315623058,-0.6460945110062236,0.850858141103193
-9.258517034068136,0.6696613555924787,-0.6163378530437139,0.8283186802684909
-9.238476953907815,0.6804384371773702,-0.5860861797197325,0.8064934768468525
-9.218436873747494,0.6906690206406966,-0.555363787843138,0.7854526329202568
-9.198396793587175,0.7003448892293476,-0.524195352283152,0.7652637312249249
-9.178356713426854,0.7094582717127187,-0.49260590615159217,0.7459916180770292
-9.158316633266534,0.7180018486242181,-0.4606208206973919,0.7276981950877335
-9.138276553106213,0.7259687581399422,-0.4282657849295231,0.7104422203365506
-9.118236472945892,0.7333526015897869,-0.3955667849847278,0.6942791196416623
-9.098196392785571,0.7401474485965798,-0.362550083256588,0.6792608085333858
-9.07815631262525,0.7463478418390959,-0.32924219730273824,0.6654355255026112
-9.05811623246493,0.7519488014351379,-0.2956698785471299,0.6528476770598151
-9.03807615230461,0.7569458289411557,-0.26186009079447814,0.6415376951023058
-9.01803607214429,0.7613349109652015,-0.2278399885741033,0.6315419070478389
-8.997995991983968,0.7651125223903055,-0.19363689533063239,0.6228924191517419
-8.977955911823647,0.7682756292056963,-0.15927828147900372,0.6156170133823131
-8.957915831663327,0.7708216909435833,-0.124791742341442,0.6097390581857379
-8.937875751503006,0.7727486627195493,-0.09020497598412212,0.6052774334271479
-8.917835671342685,0.7740549968749109,-0.05554576097129189,0.602246469748898
-8.897795591182366,0.7747396442197294,-0.02084193405476597,0.6006559025408563
-8.877755511022045,0.7748020548754747,0.013878632183335356,0.6005108406705386
-8.857715430861724,0.7742421787166623,0.04858805171660316,0.6018117500735394
-8.837675350701403,0.7730604654111131,0.08325844747116554,0.6045544522569555
-8.817635270541082,0.7712578640587988,0.11786197371533384,0.6087301377206145
-8.797595190380761,0.7688358224295677,0.1523708384240589,0.6143253942530004
-8.77755511022044,0.7657962858003601,0.18675732560025238,0.6213222500109854
-8.75751503006012,0.7621416953928459,0.22099381753506545,0.6296982312450031
-8.7374749498998,0.7578749864127454,0.2550528169892029,0.6394264344842467
-8.71743486973948,0.7529995856923997,0.28890696927750253,0.6504756129500375
-8.697394789579159,0.7475194089384909,0.3225290842390008,0.6628102769197994
-8.677354709418838,0.7414388575871209,0.3558921580748697,0.676390807719283
-8.657314629258517,0.7347628152687693,0.3889693950366869,0.6911735849768941
-8.637274549098196,0.727496643885979,0.42173422894758983,0.7071111267313811
-8.617234468937875,0.7196461793069111,0.45416034453906046,0.7241522419428729
-8.597194388777556,0.7112177266782368,0.4862216985861775,0.7422421949173869
-8.577154308617235,0.7022180553611156,0.5178925408244054,0.7613228811167051
-8.557114228456914,0.6926543934943492,0.5491474346310503,0.7813330137888883
-8.537074148296593,0.6825344221890562,0.5799612774548426,0.8022083208200018
-8.517034068136272,0.6718662693595434,0.6103093209771985,0.8238817511747595
-8.496993987975952,0.6606585031953252,0.6401671909889687,0.8462836902629942
-8.47695390781563,0.6489201252795289,0.6695109069667401,0.8693421835402264
-8.45691382765531,0.6366605633592217,0.6983169013329272,0.8929831676241029
-8.43687374749499,0.6238896637734654,0.7265620383842016,0.9171307081843738
-8.41683366733467,0.610617683545158,0.7542236328730946,0.9417072438423432
-8.396793587174349,0.5968552821430628,0.7812794682277511,0.9666338352963127
-8.376753507014028,0.5826135129205812,0.8077078143953262,0.9918304188729348
-8.356713426853707,0.5679038142381905,0.8334874452945962,1.0172160636899976
-8.336673346693386,0.5527380002766611,0.8585976558638042,1.0427092316046616
-8.316633266533067,0.5371282515484235,0.8830182786900616,1.0682280391122259
-8.296593186372746,0.5210871051147172,0.9067297002069219,1.0936905203541707
-8.276553106212425,0.5046274445163821,0.9297128764471264,1.1190148903907235
-8.256513026052104,0.48776248942636197,0.9519493483378831,1.144119807892322
-8.236472945891784,0.4705057850322518,0.9734212565263747,1.1689246364062018
-8.216432865731463,0.4528711911573946,0.9941113557236088,1.1933497033589484
-8.196392785571142,0.4348728711292873,1.0140030285550685,1.217316555963081
-8.176352705410821,0.41652528040421855,1.0330802989070564,1.240748213205706
-8.156312625250502,0.39784315495729067,1.0513278447579983,1.2635694131098683
-8.136272545090181,0.3788414994471229,1.068731010484427,1.2857068544744086
-8.11623246492986,0.3595355751647833,1.0852758186317182,1.3070894323158173
-8.09619238476954,0.3399408877765877,1.1009489811401747,1.3276484662559231
-8.076152304609218,0.32007317487063286,1.1157379100174056,1.3473179211217752
-8.056112224448897,0.29994839331706497,1.1296307274484452,1.3660346190491917
-8.036072144288577,0.2795827064522187,1.1426162753354936,1.383738442408704
-8.016032064128257,0.2589924710969448,1.1546841242596049,1.4003725269020721
-7.9959919839679365,0.23819422441952715,1.1658245818571398,1.415883444209195
-7.975951903807616,0.21720467065376564,1.1760287006042403,1.430221373598709
-7.955911823647295,0.19604066768287282,1.1852882850030868,1.4433402619511055
-7.935871743486974,0.17471921349995953,1.1935958981641626,1.4551979716803587
-7.915831663326653,0.1532574325560009,1.200944867779234,1.4657564160789387
-7.895791583166332,0.13167256200623728,1.2073292914802527,1.4749816816514956
-7.875751503006012,0.10998193786604524,1.2127440415798787,1.4828441370442693
-7.855711422845692,0.08820298108741484,1.2171847691898128,1.4893185282203647
-7.835671342685371,0.06635318356721698,1.2206479077136303,1.4943840595751683
-7.81563126252505,0.044450094098476875,1.2231306757113143,1.4980244607313797
-7.7955911823647295,0.02251130427596485,1.2246310791331863,1.5002280387991171
-7.775551102204409,0.0005544343673956477,1.2251479129214382,1.5009877159332237
-7.755511022044088,-0.021402880838388844,1.2246807619779814,1.5003010520671511
-7.735470941883768,-0.04334300619489815,1.2232300014978366,1.4981702527504086
-7.715430861723447,-0.06524832036177834,1.220796796667792,1.4946021620643752
-7.695390781563127,-0.08710122995748107,1.217383101730577,1.4896082406392661
-7.675350701402806,-0.10888418368949808,1.2129916584153018,1.4832045288428324
-7.655310621242485,-0.13057968645078466,1.2076259937354206,1.475411595259047
-7.635270541082164,-0.15217031337105208,1.2012904171559908,1.4662544706222584
-7.615230460921843,-0.17363872381166248,1.1939900171325002,1.4557625674190109
-7.595190380761523,-0.1949676752928591,1.1857306570240438,1.4439695854157728
-7.575150300601202,-0.2161400373421663,1.1765189703841337,1.430913403416015
-7.555110220440882,-0.23713880525282915,1.1663623556329212,1.4166359575943162
-7.5350701402805615,-0.2579471137412432,1.1552689701151113,1.4011831067982674
-7.515030060120241,-0.27854825049240606,1.1432477235483458,1.3846044852508552
-7.49498997995992,-0.29892566958251104,1.130308270867308,1.366953343126396
-7.474949899799599,-0.31906300476790456,1.1164610044693075,1.3482863755121393
-7.454909819639278,-0.3389440826297252,1.1017170458675676,1.3286635403048657
-7.434869739478958,-0.3585529355636877,1.0860882367589109,1.308147865627418
-7.414829659318638,-0.3778738146045518,1.0695871295130366,1.2868052473837326
-7.394789579158317,-0.39689120207500217,1.052226977091005,1.2647042376026145
