Real_Psi_X,Imag_Psi_Y,Gauge_Lambda_Z,Heat_Probability_C
1.0,0.0,0.0,1.0
0.9987757930941764,0.006281857995235869,0.001001001001001001,0.9975925466107733
0.9975136231310286,0.012548335402593392,0.002002002002002002,0.9951908890533677
0.9962136332038628,0.018799212572559298,0.003003003003003003,0.9927950133745886
0.9948759676106159,0.02503427102340858,0.004004004004004004,0.9904049056548326
0.9935007718450457,0.031253293447342234,0.005005005005005005,0.9880205520080073
0.9920881925878922,0.03745606371656207,0.006006006006006006,0.9856419385814499
0.9906383776980121,0.043642366889282636,0.007007007007007007,0.9832690515558481
0.9891514762034858,0.04981198921568003,0.008008008008008008,0.9809018771451582
0.9876276382926987,0.05596471814377761,0.009009009009009009,0.9785404015965261
0.9860670153053958,0.062100342325268426,0.01001001001001001,0.9761846111902073
0.9844697597237112,0.0682186516212744,0.011011011011011011,0.9738344922394864
0.9828360251631716,0.07431943710804198,0.012012012012012012,0.9714900310905986
0.9811659663636759,0.08040249108257451,0.013013013013013013,0.9691512141226496
0.9794597391804505,0.08646760706820078,0.014014014014014014,0.9668180277475369
0.9777175005749792,0.0925145798200802,0.015015015015015015,0.9644904584098705
0.975939408605912,0.09854320533064403,0.016016016016016016,0.9621684925868949
0.9741256224199487,0.10455328083497306,0.017017017017017015,0.9598521167884092
0.9722763022427011,0.11054460481611125,0.018018018018018018,0.9575413175566906
0.9703916093695326,0.11651697701031552,0.01901901901901902,0.9552360814664141
0.9684717061563762,0.12247019841224156,0.02002002002002002,0.9529363951245762
0.9665167560105307,0.12840407128006587,0.02102102102102102,0.9506422451704161
0.9645269233814368,0.13431839914054314,0.022022022022022022,0.9483536182753383
0.9625023737514321,0.14021298679400002,0.023023023023023025,0.9460705011428359
0.9604432736264862,0.14608764031926458,0.024024024024024024,0.9437928805084123
0.958349790526916,0.15194216707853128,0.025025025025025023,0.9415207431395041
0.9562220929780826,0.1577763757221621,0.026026026026026026,0.9392540758354055
0.954060350501068,0.16359007619342278,0.02702702702702703,0.9369928654271906
0.9518647336033352,0.16938307973315522,0.028028028028028028,0.9347370987776368
0.9496354137693687,0.17515519888438538,0.029029029029029027,0.9324867627811486
0.9473725634512985,0.18090624749686643,0.03003003003003003,0.9302418443636821
0.9450763560595071,0.18663604073155776,0.031031031031031032,0.9280023304826681
0.9427469659532198,0.1923443950650394,0.03203203203203203,0.9257682081269373
0.9403845684310774,0.19803112829386188,0.03303303303303303,0.9235394643166439
0.9379893397216958,0.2036960595388317,0.03403403403403403,0.9213160861031902
0.9355614569742075,0.20933900924923196,0.035035035035035036,0.9190980605691518
0.9331010982487902,0.2149597992069787,0.036036036036036036,0.916885374828203
0.9306084425071797,0.22055825253071254,0.037037037037037035,0.9146780160250404
0.9280836696031692,0.2261341936798258,0.03803803803803804,0.9124759713353096
