Position_x,Wavefunction_Psi,Potential_Energy_V
-3.0,0.8438539587324921,0.0
-2.99,0.8217217718383782,0.0
-2.98,0.7982750054006175,0.0
-2.97,0.7735511692438023,0.0
-2.96,0.7475898162316443,0.0
-2.95,0.7204324789908387,0.0
-2.94,0.6921226034677119,0.0
-2.93,0.6627054794239857,0.0
-2.92,0.6322281679828087,0.0
-2.91,0.60073942634101,0.0
-2.9,0.5682896297679736,0.0
-2.89,0.5349306910159652,0.0
-2.88,0.5007159772707912,0.0
-2.87,0.46570022477569695,0.0
-2.86,0.42993945126504285,0.0
-2.85,0.3934908663478909,0.0
-2.84,0.35641277998482196,0.0
-2.83,0.31876450920445026,0.0
-2.82,0.28060628320881836,0.0
-2.81,0.24199914701953518,0.0
-2.8,0.2030048638187504,0.0
-2.79,0.16368581614125197,0.0
-2.78,0.12410490607570422,0.0
-2.77,0.08432545463473841,0.0
-2.76,0.04441110045482617,0.0
-2.75,0.004425697988050785,0.0
-2.74,-0.035566784651406926,0.0
-2.73,-0.07550236802260023,0.0
-2.7199999999999998,-0.11531716371127018,0.0
-2.71,-0.15494747653768326,0.0
-2.7,-0.1943299064553348,0.0
-2.69,-0.23340144997749526,0.0
-2.68,-0.2720996009693438,0.0
-2.67,-0.3103624506444623,0.0
-2.66,-0.3481287866056728,0.0
-2.65,-0.3853381907718296,0.0
-2.64,-0.42193113603384647,0.0
-2.63,-0.45784908148538583,0.0
-2.62,-0.49303456607580864,0.0
-2.61,-0.5274313005356096,0.0
-2.6,-0.5609842574272288,0.0
-2.59,-0.5936397591772248,0.0
-2.58,-0.6253455639489304,0.0
-2.57,-0.6560509492182578,0.0
-2.56,-0.6857067929189065,0.0
-2.55,-0.7142656520272002,0.0
-2.54,-0.7416818384607952,0.0
-2.53,-0.7679114921698745,0.0
-2.52,-0.7929126513038623,0.0
-2.51,-0.8166453193414427,0.0
-2.5,-0.8390715290764524,0.0
-2.49,-0.8601554033573197,0.0
-2.48,-0.8798632124828492,0.0
-2.4699999999999998,-0.8981634281625472,0.0
-2.46,-0.9150267739551639,0.0
-2.45,-0.9304262721047533,0.0
-2.44,-0.9443372866993279,0.0
-2.4299999999999997,-0.9567375630830606,0.0
-2.42,-0.9676072634589881,0.0
-2.41,-0.9769289986252552,0.0
-2.4,-0.984687855794127,0.0
-2.39,-0.9908714224492672,0.0
-2.38,-0.9954698062031188,0.0
-2.37,-0.9984756506226111,0.0
-2.36,-0.9998841469978862,0.0
-2.35,-0.9996930420352065,0.0
-2.34,-0.9979026414617453,0.0
-2.33,-0.9945158095364889,0.0
-2.32,-0.9895379644680314,0.0
-2.31,-0.9829770697465994,0.0
-2.3,-0.9748436214041636,0.0
-2.29,-0.9651506312230295,0.0
-2.2800000000000002,-0.9539136059197589,0.0
-2.27,-0.9411505223377324,0.0
-2.26,-0.9268817986880358,0.0
-2.25,-0.9111302618846769,0.0
-2.24,-0.8939211110263924,0.0
-2.23,-0.8752818770834644,0.0
-2.2199999999999998,-0.855242378854045,0.0
-2.21,-0.8338346752604369,0.0
-2.2,-0.811093014061656,0.0
-2.19,-0.7870537770643236,0.0
-2.1799999999999997,-0.7617554219195393,0.0
-2.17,-0.7352384205988414,0.0
-2.16,-0.7075451946476833,0.0
-2.15,-0.6787200473200125,0.0
-2.14,-0.6488090927025189,0.0
-2.13,-0.6178601819419246,0.0
-2.12,-0.585922826693367,0.0
-2.11,-0.5530481199123021,0.0
-2.1,-0.5192886541166856,0.0
-2.09,-0.4846984372501522,0.0
-2.08,-0.4493328062808388,0.0
-2.07,-0.41324833867402755,0.0
-2.06,-0.3765027618802833,0.0
-2.05,-0.3391548609838345,0.0
-2.04,-0.3012643846589916,0.0
-2.0300000000000002,-0.26289194958500206,0.0
-2.02,-0.22409894347229967,0.0
-2.01,-0.18494742685526652,0.0
-2.0,-0.14550003380861354,0.0
-1.99,-0.10581987174621767,0.0
-1.98,-0.06597042046272987,0.0
-1.97,-0.026015430579440828,0.0
-1.96,0.013981178443112786,0.0
-1.95,0.05395542056264975,0.0
-1.94,0.09384334551916232,0.0
-1.93,0.13358114114169023,0.0
-1.92,0.17310523543418174,0.0
-1.91,0.21235239827712596,0.0
-1.9,0.2512598425822557,0.0
-1.89,0.2897653247384949,0.0
-1.88,0.32780724418845836,0.0
-1.8699999999999999,0.36532474197620274,0.0
-1.8599999999999999,0.40225779810857365,0.0
-1.8499999999999999,0.43854732757439113,0.0
-1.84,0.47413527486786244,0.0
-1.83,0.5089647068650102,0.0
-1.82,0.5429799039045207,0.0
-1.81,0.576126448927319,0.0
-1.8,0.6083513145322546,0.0
-1.79,0.6396029478086307,0.0
-1.78,0.6698313528098649,0.0
-1.77,0.6989881705363377,0.0
-1.76,0.7270267562994759,0.0
-1.75,0.7539022543433046,0.0
-1.74,0.7795716696040875,0.0
-1.73,0.8039939364932571,0.0
-1.72,0.8271299845935967,0.0
-1.71,0.8489428011635725,0.0
-1.7,0.8693974903498253,0.0
-1.69,0.8884613290130915,0.0
-1.68,0.9061038190782451,0.0
-1.67,0.9222967363247125,0.0
-1.66,0.9370141755392041,0.0
-1.65,0.9502325919585296,0.0
-1.64,0.9619308389361965,0.0
-1.63,0.9720902017725334,0.0
-1.6199999999999999,0.9806944276542173,0.0
-1.6099999999999999,0.9877297516553081,0.0
-1.5999999999999999,0.9931849187581927,0.0
-1.59,0.9970512018592137,0.0
-1.58,0.9993224157301724,0.0
-1.57,0.9999949269133752,0.0
-1.56,0.9990676595343903,0.0
-1.55,0.9965420970232175,0.0
-1.54,0.9924222797411169,0.0
-1.53,0.9867147985168921,0.0
