Position_X,Time_T,Heat_Rutile
-3.0,0.0,6.14421235332821e-06
-2.95,0.0,7.504557915076858e-06
-2.9000000000000004,0.0,9.166087736247602e-06
-2.8500000000000005,0.0,1.119548484259092e-05
-2.8000000000000007,0.0,1.3674196065680914e-05
-2.750000000000001,0.0,1.6701700790245598e-05
-2.700000000000001,0.0,2.039950341117185e-05
-2.6500000000000012,0.0,2.4916009731503072e-05
-2.6000000000000014,0.0,3.0432483008403462e-05
-2.5500000000000016,0.0,3.717031868412647e-05
-2.5000000000000018,0.0,4.539992976248453e-05
-2.450000000000002,0.0,5.5451599432176545e-05
-2.400000000000002,0.0,6.77287364908533e-05
-2.3500000000000023,0.0,8.27240655566315e-05
-2.3000000000000025,0.0,0.00010103940183709235
-2.2500000000000027,0.0,0.00012340980408667823
-2.200000000000003,0.0,0.00015073307509547488
-2.150000000000003,0.0,0.0001841057936675769
-2.100000000000003,0.0,0.0002248673241788454
-2.0500000000000034,0.0,0.00027465356997213863
-2.0000000000000036,0.0,0.0003354626279025071
-1.9500000000000037,0.0,0.0004097349789797806
-1.900000000000004,0.0,0.0005004514334406029
-1.850000000000004,0.0,0.0006112527611295625
-1.8000000000000043,0.0,0.0007465858083766666
-1.7500000000000044,0.0,0.0009118819655545
-1.7000000000000046,0.0,0.0011137751478447824
-1.6500000000000048,0.0,0.0013603680375478674
-1.600000000000005,0.0,0.0016615572731739014
-1.5500000000000052,0.0,0.0020294306362956924
-1.5000000000000053,0.0,0.0024787521766663056
-1.4500000000000055,0.0,0.003027554745375748
-1.4000000000000057,0.0,0.0036978637164828466
-1.3500000000000059,0.0,0.004516580942612562
-1.300000000000006,0.0,0.005516564420760639
-1.2500000000000062,0.0,0.0067379469990853
-1.2000000000000064,0.0,0.008229747049019819
-1.1500000000000066,0.0,0.010051835744633317
-1.1000000000000068,0.0,0.01227733990306811
-1.050000000000007,0.0,0.01499557682047729
-1.000000000000007,0.0,0.018315638888733658
-0.9500000000000073,0.0,0.022370771856164946
-0.9000000000000075,0.0,0.027323722447291747
-0.8500000000000076,0.0,0.03337326996032506
-0.8000000000000078,0.0,0.04076220397836494
-0.750000000000008,0.0,0.04978706836786235
-0.7000000000000082,0.0,0.060810062625215974
-0.6500000000000083,0.0,0.0742735782143314
-0.6000000000000085,0.0,0.0907179532894094
-0.5500000000000087,0.0,0.11080315836233003
-0.5000000000000089,0.0,0.13533528323660787
-0.45000000000000906,0.0,0.16529888822158054
-0.40000000000000924,0.0,0.20189651799464794
-0.3500000000000094,0.0,0.2465969639415972
-0.3000000000000096,0.0,0.30119421191219053
-0.25000000000000977,0.0,0.36787944117142796
-0.20000000000000995,0.0,0.4493289641172037
-0.15000000000001013,0.0,0.5488116360940042
-0.1000000000000103,0.0,0.6703200460356117
-0.05000000000001048,0.0,0.8187307530779475
-1.0658141036401503e-14,0.0,0.9999999999999574
0.049999999999989164,0.0,0.28815914910043783
0.09999999999998899,0.0,0.25450600640208426
0.1499999999999888,0.0,0.20435366317151352
0.19999999999998863,0.0,0.14562007165482033
0.24999999999998845,0.0,0.08757797451794125
0.2999999999999883,0.0,0.03939094266882268
0.3499999999999881,0.0,0.008666648899706062
0.3999999999999879,0.0,0.00025578363078619117
0.44999999999998774,0.0,0.01548623754987144
0.49999999999998757,0.0,0.05195345687044692
0.5499999999999874,0.0,0.10390006950322266
0.5999999999999872,0.0,0.16312484751590167
0.649999999999987,0.0,0.22027750069504276
0.6999999999999869,0.0,0.2663348817765275
0.7499999999999867,0.0,0.29402554299755046
0.7999999999999865,0.0,0.29897773781373077
0.8499999999999863,0.0,0.28040962355248183
0.8999999999999861,0.0,0.2412526971798514
0.949999999999986,0.0,0.1876889763873546
0.9999999999999858,0.0,0.12817499492872483
1.0499999999999856,0.0,0.07210670188251195
1.0999999999999854,0.0,0.02833604789076189
1.1499999999999853,0.0,0.003773456789379382
1.199999999999985,0.0,0.0022968216308778423
1.249999999999985,0.0,0.024139270638522274
1.2999999999999847,0.0,0.06585236138590046
1.3499999999999845,0.0,0.12085051403168148
1.3999999999999844,0.0,0.1804507295727943
1.4499999999999842,0.0,0.23524344446518047
1.499999999999984,0.0,0.27657809380986353
1.5499999999999838,0.0,0.2979288453418263
1.5999999999999837,0.0,0.2959248848546198
1.6499999999999835,0.0,0.27088259364607925
1.6999999999999833,0.0,0.2267555988679895
1.7499999999999831,0.0,0.1705105827311951
1.799999999999983,0.0,0.11102739656795645
1.8499999999999828,0.0,0.05769712755680827
1.8999999999999826,0.0,0.018939452548348085
1.9499999999999824,0.0,0.0008733562224299904
1.9999999999999822,0.0,0.006351077951486167
2.049999999999982,0.0,0.03450780591867563
2.099999999999982,0.0,0.08089821188827624
2.1499999999999817,0.0,0.1381982707902022
2.1999999999999815,0.0,0.19736156323786527
2.2499999999999813,0.0,0.24904750623659522
2.299999999999981,0.0,0.2850960258577055
2.349999999999981,0.0,0.2998158534880804
2.399999999999981,0.0,0.2908830520045385
2.4499999999999806,0.0,0.2597079143468405
2.4999999999999805,0.0,0.2112123092720302
2.5499999999999803,0.0,0.15305262649977586
2.59999999999998,0.0,0.09441100112437606
2.64999999999998,0.0,0.04454565638020914
2.6999999999999797,0.0,0.011329233762891097
2.7499999999999796,0.0,5.876040804214052e-06
2.7999999999999794,0.0,0.012363292420211074
2.849999999999979,0.0,0.046450518569746004
2.899999999999979,0.0,0.09688593099052271
2.949999999999979,0.0,0.15570688703544
2.9999999999999787,0.0,0.2136268511005264
-3.0,0.05,6.109715912498246e-06
-2.95,0.05,7.462423867100432e-06
-2.9000000000000004,0.05,9.114625093836742e-06
-2.8500000000000005,0.05,1.1132628229208085e-05
-2.8000000000000007,0.05,1.3597422824726512e-05
-2.750000000000001,0.05,1.6607929741990996e-05
-2.700000000000001,0.05,2.028497119419811e-05
-2.6500000000000012,0.05,2.4776119765793147e-05
-2.6000000000000014,0.05,3.0261621018446425e-05
