Position_X,Time_T,Probability_Heat
2.4999999999999805,3.0,0.056060037559976406
2.5499999999999803,3.0,0.10065144428107882
2.59999999999998,3.0,0.14829756251404405
2.64999999999998,3.0,0.1914761178330096
2.6999999999999797,3.0,0.22337016576343435
2.7499999999999796,3.0,0.23894433742361423
2.7999999999999794,3.0,0.23573981355338314
2.849999999999979,3.0,0.2142625180107612
2.899999999999979,3.0,0.1779032435190301
2.949999999999979,3.0,0.13240232005249686
2.9999999999999787,3.0,0.08494334295195922
-3.0,3.0500000000000003,1.1524862554486464e-07
-2.95,3.0500000000000003,1.4076498911466618e-07
-2.9000000000000004,3.0500000000000003,1.7193074595703943e-07
-2.8500000000000005,3.0500000000000003,2.0999668732446328e-07
-2.8000000000000007,3.0500000000000003,2.5649053310259805e-07
-2.750000000000001,3.0500000000000003,3.1327824457348534e-07
-2.700000000000001,3.0500000000000003,3.82638911993631e-07
-2.6500000000000012,3.0500000000000003,4.673562224884271e-07
-2.6000000000000014,3.0500000000000003,5.708301791906824e-07
-2.5500000000000016,3.0500000000000003,6.97213555304563e-07
-2.5000000000000018,3.0500000000000003,8.515785594756507e-07
-2.450000000000002,3.0500000000000003,1.0401204013336232e-06
-2.400000000000002,3.0500000000000003,1.2704059270075496e-06
-2.3500000000000023,3.0500000000000003,1.551677303230047e-06
-2.3000000000000025,3.0500000000000003,1.8952229379397125e-06
-2.2500000000000027,3.0500000000000003,2.3148305237279834e-06
-2.200000000000003,3.0500000000000003,2.827340386354707e-06
-2.150000000000003,3.0500000000000003,3.4533213461512773e-06
-2.100000000000003,3.0500000000000003,4.217896217002558e-06
-2.0500000000000034,3.0500000000000003,5.1517500730802665e-06
-2.0000000000000036,3.0500000000000003,6.2923617486120896e-06
-1.9500000000000037,3.0500000000000003,7.68550799509635e-06
-1.900000000000004,3.0500000000000003,9.387100663072713e-06
-1.850000000000004,3.0500000000000003,1.146543064100416e-05
-1.8000000000000043,3.0500000000000003,1.4003908608416597e-05
-1.7500000000000044,3.0500000000000003,1.7104412599342964e-05
-1.7000000000000046,3.0500000000000003,2.0891376725547042e-05
-1.6500000000000048,3.0500000000000003,2.5516785154346318e-05
-1.600000000000005,3.0500000000000003,3.1166271766899044e-05
-1.5500000000000052,3.0500000000000003,3.806657029765989e-05
-1.5000000000000053,3.0500000000000003,4.649461395525976e-05
-1.4500000000000055,3.0500000000000003,5.6788649724546556e-05
-1.4000000000000057,3.0500000000000003,6.936181340575288e-05
-1.3500000000000059,3.0500000000000003,8.471871020477755e-05
-1.300000000000006,3.0500000000000003,0.00010347566631188735
-1.2500000000000062,3.0500000000000003,0.0001263854642358005
-1.2000000000000064,3.0500000000000003,0.0001543675546089601
-1.1500000000000066,3.0500000000000003,0.0001885449569698244
-1.1000000000000068,3.0500000000000003,0.00023028933048013388
-1.050000000000007,3.0500000000000003,0.0002812760234232942
-1.000000000000007,3.0500000000000003,0.0003435513108135358
-0.9500000000000073,3.0500000000000003,0.00041961451859719417
-0.9000000000000075,3.0500000000000003,0.0005125183303786644
-0.8500000000000076,3.0500000000000003,0.0006259913023321454
-0.8000000000000078,3.0500000000000003,0.0007645875032527586
-0.750000000000008,3.0500000000000003,0.0009338692853277166
-0.7000000000000082,3.0500000000000003,0.001140630520860339
-0.6500000000000083,3.0500000000000003,0.0013931692642204882
-0.6000000000000085,3.0500000000000003,0.0017016207819028771
-0.5500000000000087,3.0500000000000003,0.0020783643163588376
-0.5000000000000089,3.0500000000000003,0.0025385199084623582
-0.45000000000000906,3.0500000000000003,0.0031005552178404237
-0.40000000000000924,3.0500000000000003,0.0037870266948981973
-0.3500000000000094,3.0500000000000003,0.004625484850374847
-0.3000000000000096,3.0500000000000003,0.005649579954075915
-0.25000000000000977,3.0500000000000003,0.0069004125383547235
-0.20000000000000995,3.0500000000000003,0.008428182906789471
-0.15000000000001013,3.0500000000000003,0.01029420584863105
-0.1000000000000103,3.0500000000000003,0.012573371416586508
-0.05000000000001048,3.0500000000000003,0.015357150527590992
-1.0658141036401503e-14,3.0500000000000003,0.018757266011880533
0.049999999999989164,3.0500000000000003,0.07861086974498059
0.09999999999998899,3.0500000000000003,0.19489824815018078
0.1499999999999888,3.0500000000000003,0.2839509517033494
0.19999999999998863,3.0500000000000003,0.29175080540014303
0.24999999999998845,3.0500000000000003,0.21356652265193932
0.2999999999999883,3.0500000000000003,0.09682364024280661
0.3499999999999881,3.0500000000000003,0.012336824105069978
0.3999999999999879,3.0500000000000003,0.011354643205119384
0.44999999999998774,3.0500000000000003,0.09447287529727959
0.49999999999998757,3.0500000000000003,0.2112731161325963
0.5499999999999874,3.0500000000000003,0.29090590692709645
0.5999999999999872,3.0500000000000003,0.28506706535291493
