Position_x,Potential_V,Time_0.00,Time_0.30,Time_0.60,Time_0.90,Time_1.20,Time_1.50,Time_1.80,Time_2.10,Time_2.40,Time_2.70,Time_3.00,Time_3.30,Time_3.60,Time_3.90,Time_4.20,Time_4.50,Time_4.80,Time_5.10,Time_5.40,Time_5.70,Time_6.00,Time_6.30,Time_6.60,Time_6.90,Time_7.20,Time_7.50,Time_7.80,Time_8.10,Time_8.40,Time_8.70,Time_9.00,Time_9.30,Time_9.60,Time_9.90,Time_10.20,Time_10.50,Time_10.80,Time_11.10,Time_11.40,Time_11.70,Time_12.00,Time_12.30,Time_12.60,Time_12.90,Time_13.20,Time_13.50,Time_13.80,Time_14.10,Time_14.40,Time_14.70
-50.0,1.5,5.22492508585547e-136,9.180300898093755e-137,1.2228474197976874e-122,8.288579383079801e-109,9.167865056479838e-97,2.1165493095683404e-86,1.2981493534044247e-77,1.734945720562385e-70,5.781072760413394e-63,1.2653873931318696e-56,1.1226380076542233e-51,8.232046579224241e-47,3.9655836338608715e-42,1.261492493577117e-38,2.605603867711257e-36,6.6050783402380165e-34,1.569429571549734e-32,2.5829009796473484e-32,1.254959581183792e-31,2.0470273991582895e-31,7.324141554557185e-31,2.0193124053331765e-31,1.5562971879355419e-30,1.0446129518787322e-30,1.939778077918443e-31,4.752959398381717e-31,5.356890309373102e-32,5.14409927717367e-32,2.2286759407481497e-31,3.184407510673154e-31,3.932529873466845e-32,1.1044863987122082e-32,3.323580051719112e-31,1.206726873655492e-31,2.331795812292506e-31,4.403625357578123e-30,8.68185399126063e-28,8.358946306314242e-26,5.4128790672566095e-24,2.410817777899696e-22,7.645805674750341e-21,1.7803747648450643e-19,3.1327990503742393e-18,4.276702778061978e-17,4.639061469098003e-16,4.086079348724987e-15,2.980129221226235e-14,1.8317547421326316e-13,9.640195745997313e-13,4.406317459934599e-12
-49.949974987493746,1.5,9.45707451224065e-135,1.7419408345308224e-136,4.4554940740824157e-122,2.931871043698612e-108,3.205872496220459e-96,7.247674887477202e-86,4.351451454611148e-77,5.5051770636695903e-70,1.9059803662446514e-62,4.152326790208805e-56,3.625083188027715e-51,2.7091583080289906e-46,1.2868636806419091e-41,4.012238519133533e-38,8.391969108906243e-36,2.0936340980131238e-33,5.09757457562373e-32,6.999704853936855e-32,3.5906055936460175e-31,5.570773360823458e-31,2.006609882030322e-30,3.5191147379580554e-31,4.713116145909071e-30,3.3791985204678085e-30,6.791691469627218e-31,1.4518503757992405e-30,1.1668813802275011e-31,7.344270128123588e-32,6.917589936286452e-31,9.572112921969258e-31,1.8699492752009543e-31,4.136759282943349e-32,8.5181441931708e-31,3.8337948646300217e-31,6.421744449748381e-31,1.6168788098814792e-29,3.2158617831853985e-27,3.109614092713206e-25,2.0181228281373642e-23,9.009679289622056e-22,2.863935233906013e-20,6.684139133982552e-19,1.1788080493766291e-17,1.61276988879821e-16,1.7531473941404277e-15,1.547352450726976e-14,1.1307822761643958e-13,6.963682959346069e-13,3.671565812958113e-12,1.681130016083633e-11
-49.89994997498749,1.5,4.508593714460326e-134,1.964295847798191e-136,8.9686153116276e-122,5.561236007283984e-108,5.927486974655168e-96,1.2816374682816436e-85,7.363919042480633e-77,8.383126949680483e-70,3.117057427035611e-62,6.68495180378395e-56,5.627809107138842e-51,4.38744085908927e-46,2.0141008111092075e-41,6.029953968087956e-38,1.287012499236428e-35,3.121005104175723e-33,7.941340603615953e-32,7.526046570725112e-32,4.430473487568225e-31,6.121459363927801e-31,2.2778288360937383e-30,2.264306178064203e-31,6.745269361201987e-30,5.429212079605405e-30,1.2874188102039577e-30,2.097446457280026e-30,7.957628634460429e-32,7.751155568986615e-32,1.0184390645609847e-30,1.3460349802233091e-30,5.048926571788345e-31,9.347010141668279e-32,8.836165309737605e-31,6.356663881937267e-31,7.585830535196364e-31,3.1666404234641176e-29,6.360052301598166e-27,6.189783933870141e-25,4.032144658540246e-23,1.8072270853393772e-21,5.766991630192129e-20,1.3511820378220344e-18,2.3920345450958587e-17,3.2848453646568043e-16,3.583714279798785e-15,3.1741331637357915e-14,2.32745188208092e-13,1.437968655147958e-12,7.605234699509744e-12,3.4926565241092217e-11
-49.84992496248124,1.5,1.3413406246078818e-133,1.798548101680864e-136,1.5113211534936913e-121,8.520476535713635e-108,8.661935932284398e-96,1.7277507880458167e-85,9.172372603070726e-77,8.794635965429593e-70,3.6450090507457126e-62,7.461388545333693e-56,5.786832154518382e-51,4.946273657050547e-46,2.0933005480557722e-41,5.78912990552026e-38,1.2641626582022575e-35,2.9336824230575097e-33,7.997064737803003e-32,3.4346826017993847e-32,3.0402529578578684e-31,3.102476423733623e-31,1.3526540029479291e-30,1.003371017416485e-30,6.726919391367165e-30,6.279830880980665e-30,1.9798513698641384e-30,2.057649632572845e-30,1.539065000503959e-32,5.298849475786895e-31,9.942515966741337e-31,1.2666497729355369e-30,9.637810569547642e-31,1.9349114416207304e-31,4.9131574225897035e-31,7.9894406794361e-31,5.142643684164781e-31,4.669035389805621e-29,9.419615381497091e-27,9.238181280083811e-25,6.04934848516361e-23,2.7263965263594445e-21,8.748285366696472e-20,2.0610628121793834e-18,3.668771388758728e-17,5.065197829611303e-16,5.554968968560548e-15,4.9450275445697344e-14,3.6436917597509026e-13,2.261757089345656e-12,1.2016040790892843e-11,5.5420879369240285e-11
-49.799899949974986,1.5,3.4494048950667674e-133,7.371488986722302e-137,2.573733522846762e-121,1.2960778951388453e-107,1.233573206019318e-95,2.1970760855390292e-85,1.0404121891201497e-76,8.183021050384896e-70,3.7519514250494925e-62,6.844384760672021e-56,4.384723176247728e-51,4.5868044589035466e-46,1.60233557357255e-41,3.745019288096765e-38,8.102571891471976e-36,1.769012490090242e-33,5.27270983136307e-32,1.1351024763632976e-33,1.1301843003277985e-31,2.7482075985074913e-32,4.4076968490929475e-31,3.680176536248768e-30,5.9126541546847955e-30,6.059287399892544e-30,2.8680215402911448e-30,1.6332818148305477e-30,2.2834932475335647e-32,1.6429840178507703e-30,7.055346028635162e-31,9.16066000983575e-31,1.3300124621806281e-30,3.832768458923209e-31,1.433646917671397e-31,7.935511285880513e-31,2.243033312231933e-31,5.799682380936628e-29,1.1597586480750919e-26,1.1463130964178632e-24,7.555034588316245e-23,3.429066187095432e-21,1.108230637613514e-19,2.6299866614267598e-18,4.715476210795302e-17,6.556888749658621e-16,7.241174462362183e-15,6.489840869059704e-14,4.813324831899245e-13,3.006635115151358e-12,1.6070027864587402e-11,7.454820708707263e-11
-49.74987493746873,1.5,8.424697140400397e-133,2.5700138213108e-136,4.7249118921286885e-121,2.163232306779762e-107,1.9357299828029934e-95,3.108847613991243e-85,1.328969451595666e-76,9.944524681914008e-70,4.38804750517697e-62,6.73834480021934e-56,3.073967773585294e-51,4.4844042390181856e-46,1.1212480499139137e-41,1.931790944516449e-38,3.161758442963088e-36,6.944380830225503e-34,1.835506174944393e-32,2.4427589587749964e-32,5.46758655627237e-32,6.651039998976614e-32,3.9791263135173055e-31,6.734173372212744e-30,5.4924064504313085e-30,5.19237923997538e-30,4.020639901754169e-30,1.3008726540487684e-30,4.808746114274918e-32,2.7035964580605466e-30,3.6838554459953294e-31,5.3441358495416484e-31,1.3250677890827856e-30,6.478496100503833e-31,3.785303432513981e-32,5.919474441794421e-31,2.1275306614509343e-31,6.423414494848843e-29,1.2423964204585968e-26,1.235890398786834e-24,8.203150845265206e-23,3.7538846614052696e-21,1.2237840557046857e-19,2.9303416568853676e-18,5.301821903133413e-17,7.43903686941217e-16,8.288708134827325e-15,7.49338401714471e-14,5.604539547748456e-13,3.5293636734221464e-12,1.901142680184282e-11,8.885360474606357e-11
-49.69984992496248,1.5,2.0204154907173866e-132,6.564527612186751e-136,9.091119221206538e-121,3.878425574468553e-107,3.320502066532398e-95,5.002069190793198e-85,2.034846808835356e-76,1.6653054038284647e-69,6.518442981940832e-62,9.151704041164335e-56,3.519950962432646e-51,5.897783104998583e-46,1.2717532783003885e-41,2.235040754990579e-38,2.1702895502296877e-36,6.972337672926565e-34,2.000007501548803e-33,8.694491507040811e-32,1.1539061057352697e-31,2.854646169965949e-31,7.285883280089379e-31,7.15445445398726e-30,5.1121103985935464e-30,3.8556522693284434e-30,5.21214594820833e-30,1.2993867330399266e-30,4.1860318416912784e-32,2.7480560442867804e-30,1.3867197438565386e-31,2.207630208487183e-31,9.41972872969359e-31,8.245381354138879e-31,1.480266561991372e-31,3.3547654626628288e-31,5.572245774568557e-31,6.612714178460374e-29,1.1892322858028765e-26,1.185848847358012e-24,7.917007520454763e-23,3.652650878542076e-21,1.2020328979746396e-19,2.907805219269797e-18,5.317606969599912e-17,7.542988776058975e-16,8.496737585590874e-15,7.764610079013571e-14,5.868798757480986e-13,3.733645009335262e-12,2.0310382582969327e-11,9.582369403076653e-11
-49.649824912456225,1.5,4.8149466537176576e-132,5.794692636331498e-136,1.760695125078962e-120,7.049795645565931e-107,5.822094436213239e-95,8.377516239282949e-85,3.311725389487887e-76,2.823452223693641e-69,1.0506124667569558e-61,1.4735727414063037e-55,6.088056783670952e-51,9.270272734631138e-46,2.2300822160069846e-41,4.819175115098715e-38,6.466011945085989e-36,1.8636721897000605e-33,1.419612485302972e-32,1.2513061952508413e-31,1.4610455280978163e-31,3.4235873886027242e-31,6.0006038102970546e-31,4.252112017186219e-30,3.8973158327144735e-30,2.273640404671835e-30,5.835288536075144e-30,1.5566410257478769e-30,1.2945568916740085e-31,1.750441164066915e-30,4.537889628351344e-32,3.558752098536486e-32,4.631228759167897e-31,6.940881599159489e-31,3.9082071925094397e-31,1.7273185897694019e-31,1.0061923641056358e-30,6.580999604751963e-29,1.0461648783645516e-26,1.0354590095620876e-24,6.912440194494768e-23,3.2039577064370802e-21,1.0624276983238022e-19,2.5953357823327644e-18,4.7999642318745014e-17,6.892289570928616e-16,7.862948697201577e-15,7.278433304414279e-14,5.572114322456265e-13,3.589635388278273e-12,1.976632978256374e-11,9.435904054932634e-11
-49.59979989994998,1.5,1.1447771485046778e-131,3.2200395636994954e-136,3.379338987205127e-120,1.2642702955416081e-106,1.0048368742176384e-94,1.373061691002848e-84,5.20831799830681e-76,4.2934618170860965e-69,1.6090174070614813e-61,2.2501199226229096e-55,9.63659243519404e-51,1.4042512079441472e-45,3.6045530356720355e-41,8.03390599781582e-38,1.3274559319928818e-35,3.334533344944668e-33,4.351883293971878e-32,1.0459580660495368e-31,8.144658769030923e-32,1.805668500450424e-31,1.5824849086840033e-31,9.876892538267997e-31,2.013474595789349e-30,1.015476786351888e-30,5.217738596082584e-30,1.7636740023557893e-30,4.355010394684838e-31,6.1179600327777615e-31,3.301230235142764e-32,1.7297772185526807e-32,1.4566070968608355e-31,2.9862869415977137e-31,5.3093334011124906e-31,9.950665364272924e-32,1.1615126299029306e-30,6.561858038396386e-29,8.926416821303356e-27,8.584750086138852e-25,5.636836140910116e-23,2.591680360525623e-21,8.581903116221858e-20,2.1047679819706514e-18,3.9242032917645946e-17,5.697024312237412e-16,6.5839397968763036e-15,6.181086424447555e-14,4.802103504964806e-13,3.1399328125423247e-12,1.754682863502484e-11,8.497954348265142e-11
-49.549774887443725,1.5,2.718340075010237e-131,1.0698646487720842e-135,6.435490004202964e-120,2.23733401940661e-106,1.7025119970168832e-94,2.1836900215570013e-84,7.803652801236492e-76,6.039027946452656e-69,2.299769709986932e-61,3.094438017752358e-55,1.252641326136787e-50,1.9293709253703578e-45,4.772048219396266e-41,9.846617432103795e-38,1.788317608107068e-35,4.0482576511009695e-33,6.628150740844919e-32,5.906421219611814e-32,1.0663948191038634e-32,7.591272438317183e-32,1.9400642597672812e-31,5.400843786630556e-31,5.1456585253980956e-31,5.371633048844407e-31,3.3065755077636905e-30,1.5747759766564356e-30,8.618544211261368e-31,7.180266067087075e-32,6.596020231279818e-32,8.456879268773463e-32,2.4171405648748968e-32,5.932403059072712e-32,3.8578980179577933e-31,9.058314795892437e-32,9.163873815475433e-31,6.749631546534364e-29,8.184773413458184e-27,7.41658814188507e-25,4.641807448855983e-23,2.0544309696435426e-21,6.622034843123951e-20,1.5982293339921457e-18,2.9606369152730794e-17,4.30397555737613e-16,5.010285086673129e-15,4.757909386164774e-14,3.7493792490566984e-13,2.4908445817526147e-12,1.4154358198483275e-11,6.972448995329372e-11
