Time (t),P_PAni,P_TiO2
0.0,1.0,0.0
0.005005005005005005,0.9999436383899335,5.6361610066421335e-05
0.01001001001001001,0.9997745662662586,0.00022543373374132823
0.015015015015015015,0.9994928217456837,0.00050717825431629
0.02002002002002002,0.9990984683465078,0.0009015316534920787
0.025025025025025023,0.9985915949743014,0.0014084050256986435
0.03003003003003003,0.9979723159018614,0.0020276840981385547
0.035035035035035036,0.9972407707434506,0.0027592292565494004
0.04004004004004004,0.9963971244233206,0.0036028755766793217
0.04504504504504504,0.9954415671385314,0.004558432861468604
0.050050050050050046,0.994374314316071,0.0056256856839289205
0.055055055055055056,0.9931956065642893,0.006804393435710584
0.06006006006006006,0.9919057096186533,0.008094290381346842
0.06506506506506507,0.990504914281837,0.009495085718162993
0.07007007007007007,0.9889935363581631,0.011006463641836807
0.07507507507507508,0.9873719165824044,0.0126280834175955
0.08008008008008008,0.9856404205429669,0.014359579457033159
0.08508508508508508,0.9837994385994686,0.016200561400531364
0.09009009009009009,0.9818493857947356,0.01815061420526435
0.09509509509509509,0.979790701761231,0.020209298238768974
0.10010010010010009,0.9776238506219418,0.022376149378058232
0.10510510510510511,0.9753493208857438,0.0246506791142562
0.11011011011011011,0.9729676253372693,0.027032374662730577
0.11511511511511512,0.9704793009213019,0.02952069907869814
0.12012012012012012,0.9678849086217228,0.03211509137827711
0.12512512512512514,0.9651850333350411,0.03481496666495889
0.13013013013013014,0.9623802837385291,0.037619716261470926
0.13513513513513514,0.9594712921529991,0.04052870784700084
0.14014014014014015,0.956458714400249,0.043541285599750935
0.14514514514514515,0.9533432296552092,0.0466567703447908
0.15015015015015015,0.9501255402928249,0.049874459707174995
0.15515515515515516,0.9468063717297092,0.05319362827029087
0.16016016016016016,0.9433864722605988,0.05661352773940124
0.16516516516516516,0.9398666128896552,0.06013338711034472
0.17017017017017017,0.936247587156644,0.0637524128433559
0.17517517517517517,0.9325302109580339,0.06746978904196604
0.18018018018018017,0.9287153223630559,0.07128467763694402
0.18518518518518517,0.9248037814247639,0.07519621857523613
0.19019019019019018,0.9207964699861381,0.07920353001386184
0.19519519519519518,0.9166942914812776,0.0833057085187223
0.20020020020020018,0.9124981707317239,0.08750182926827621
0.20520520520520522,0.9082090537379622,0.09179094626203774
0.21021021021021022,0.9038279074661513,0.09617209253384869
0.21521521521521522,0.8993557196301222,0.10064428036987784
0.22022022022022023,0.8947934984687027,0.10520650153129735
0.22522522522522523,0.8901422725184134,0.10985772748158662
0.23023023023023023,0.8854030903815876,0.11459690961841239
0.23523523523523523,0.8805770204899679,0.11942297951003206
0.24024024024024024,0.8756651508638319,0.12433484913616807
0.24524524524524524,0.8706685888667016,0.12933141113329824
0.2502502502502503,0.8655884609556933,0.1344115390443068
0.2552552552552553,0.8604259124275601,0.13957408757243991
0.2602602602602603,0.8551821071604906,0.14481789283950938
0.2652652652652653,0.8498582273517158,0.1501417726482842
0.2702702702702703,0.8444554732509868,0.1555445267490132
0.2752752752752753,0.8389750628899835,0.16102493711001659
0.2802802802802803,0.8334182318077127,0.16658176819228743
0.2852852852852853,0.8277862327719612,0.1722137672280389
0.2902902902902903,0.8220803354968629,0.17791966450313704
0.2952952952952953,0.8163018263566475,0.18369817364335245
0.3003003003003003,0.8104520080956304,0.1895479919043695
0.3053053053053053,0.804532199534515,0.19546780046548506
0.3103103103103103,0.798543735273068,0.20145626472693193
0.3153153153153153,0.7924879653892403,0.20751203461075973
0.3203203203203203,0.7863662551347947,0.21363374486520512
0.3253253253253253,0.7801799846275171,0.21982001537248286
0.3303303303303303,0.7739305485400714,0.2260694514599286
0.3353353353353353,0.7676193557855773,0.2323806442144227
0.34034034034034033,0.7612478291999751,0.23875217080002487
0.34534534534534533,0.7548174052212527,0.24518259477874724
0.35035035035035034,0.7483295335656054,0.2516704664343946
0.35535535535535534,0.741785676900603,0.258214323099397
0.36036036036036034,0.7351873105154361,0.26481268948456405
0.36536536536536535,0.7285359219883177,0.2714640780116823
0.37037037037037035,0.7218330108511143,0.2781669891488857
0.37537537537537535,0.7150800882512809,0.28491991174871895
0.38038038038038036,0.7082786766111796,0.29172132338882045
0.38538538538538536,0.7014303092848527,0.29856969071514716
0.39039039039039036,0.6945365302123362,0.3054634697876638
0.39539539539539537,0.6875988935715814,0.31240110642841845
0.40040040040040037,0.6806189634280734,0.31938103657192657
0.40540540540540543,0.673598313382216,0.3264016866177841
0.41041041041041043,0.6665385262145702,0.3334614737854298
0.41541541541541543,0.6594411935290224,0.34055880647097747
0.42042042042042044,0.6523079153939619,0.3476920846060381
0.42542542542542544,0.6451402999815514,0.35485970001844863
0.43043043043043044,0.637939963205171,0.3620600367948291
0.43543543543543545,0.6307085283551156,0.3692914716448844
0.44044044044044045,0.6234476257326301,0.37655237426736987
0.44544544544544545,0.6161588922823641,0.383841107717636
0.45045045045045046,0.6088439712233277,0.3911560287766723
0.45545545545545546,0.6015045116784348,0.39849548832156534
0.46046046046046046,0.5941421683027127,0.40585783169728723
0.46546546546546547,0.5867586009102683,0.41324139908973173
0.47047047047047047,0.5793554741000859,0.4206445258999141
0.4754754754754755,0.5719344568807522,0.42806554311924777
0.4804804804804805,0.5644972222941823,0.43550277770581763
0.4854854854854855,0.5570454470384392,0.4429545529615608
0.4904904904904905,0.5495808110897278,0.45041918891027216
0.4954954954954955,0.5421049973236509,0.45789500267634914
0.5005005005005005,0.5346196911358098,0.46538030886419024
0.5055055055055055,0.527126580061839,0.4728734199381609
0.5105105105105106,0.5196273533969568,0.48037264660304313
0.5155155155155156,0.5121237018151195,0.48787629818488054
0.5205205205205206,0.504617316987865,0.49538268301213495
0.5255255255255256,0.49710989120293203,0.502890108797068
0.5305305305305306,0.4896031169827394,0.5103968830172606
0.5355355355355356,0.4820986867028128,0.5179013132971871
0.5405405405405406,0.47459829221024513,0.5254017077897548
0.5455455455455456,0.4671036244422754,0.5328963755577245
0.5505505505505506,0.45961637304507286,0.5403836269549273
0.5555555555555556,0.45213822599281217,0.5478617740071878
0.5605605605605606,0.44467086920712623,0.5553291307928737
0.5655655655655656,0.43721598617702057,0.5627840138229795
0.5705705705705706,0.42977525757933693,0.570224742420663
0.5755755755755756,0.42235036089985056,0.5776496391001493
0.5805805805805806,0.4149429700550873,0.5850570299449127
0.5855855855855856,0.4075547550149446,0.5924452449850554
0.5905905905905906,0.4001873814262033,0.5998126185737966
0.5955955955955956,0.3928425102370131,0.6071574897629869
0.6006006006006006,0.3855217973224377,0.6144782026775623
0.6056056056056056,0.378226893111144,0.621773106888856
0.6106106106106106,0.3709594422133185,0.6290405577866816
0.6156156156156156,0.3637210830498959,0.6362789169501041
0.6206206206206206,0.3565134474831829,0.6434865525168171
0.6256256256256256,0.349338160448961,0.650661839551039
0.6306306306306306,0.3421968395901496,0.6578031604098504
0.6356356356356356,0.33509109489211525,0.6649089051078847
0.6406406406406406,0.3280225283197057,0.6719774716802942
0.6456456456456456,0.32099273345609225,0.6790072665439076
0.6506506506506506,0.31400329514350295,0.6859967048564971
0.6556556556556556,0.30705578912592457,0.6929442108740754
0.6606606606606606,0.3001517816938577,0.6998482183061422
0.6656656656656657,0.2932928293312014,0.7067071706687987
0.6706706706706707,0.2864804783643496,0.7135195216356504
0.6756756756756757,0.27971626461357796,0.7202837353864221
0.6806806806806807,0.27300171304679755,0.7269982869532026
0.6856856856856857,0.2663383374357572,0.7336616625642428
0.6906906906906907,0.2597276400147685,0.7402723599852314
0.6956956956956957,0.2531711111420326,0.7468288888579674
0.7007007007007007,0.24667022896364463,0.7533297710363552
0.7057057057057057,0.24022645908035006,0.7597735409196499
0.7107107107107107,0.23384125421713106,0.7661587457828689
0.7157157157157157,0.2275160538956944,0.7724839461043056
0.7207207207207207,0.22125228410993647,0.7787477158900635
0.7257257257257257,0.2150513570044581,0.7849486429955418
0.7307307307307307,0.2089146705562017,0.7910853294437983
0.7357357357357357,0.20284360825928194,0.7971563917407181
0.7407407407407407,0.1968395388130823,0.8031604611869176
0.7457457457457457,0.19090381581368654,0.8090961841863133
0.7507507507507507,0.18503777744871533,0.8149622225512846
0.7557557557557557,0.17924274619563646,0.8207572538043635
0.7607607607607607,0.1735200285236172,0.8264799714763829
0.7657657657657657,0.16787091459898532,0.8321290854010146
0.7707707707707707,0.16229667799436576,0.8377033220056342
0.7757757757757757,0.1567985754015583,0.8432014245984417
0.7807807807807807,0.15137784634822068,0.8486221536517793
0.7857857857857857,0.1460357129184216,0.8539642870815783
0.7907907907907907,0.14077337947712623,0.8592266205228738
0.7957957957957957,0.13559203239867643,0.8644079676013237
0.8008008008008007,0.1304928397993268,0.8695071602006732
0.8058058058058059,0.12547695127389707,0.8745230487261029
0.8108108108108109,0.12054549763660012,0.8794545023634
0.8158158158158159,0.1156995906661038,0.8843004093338963
0.8208208208208209,0.1109403228548844,0.8890596771451157
0.8258258258258259,0.10626876716292834,0.8937312328370718
0.8308308308308309,0.1016859767758368,0.8983140232241632
0.8358358358358359,0.09719298486738903,0.902807015132611
0.8408408408408409,0.09279080436661696,0.9072091956333831
0.8458458458458459,0.0884804277294439,0.911519572270556
0.8508508508508509,0.08426282671493888,0.9157371732850611
