Real_Space_X,Imaginary_Space_Y,Singularity_Magnitude_Z
-2.0,-2.0,0.007957647684620393
-1.95,-2.0,0.008160128561254627
-1.9,-2.0,0.008367707347325297
-1.8499999999999999,-2.0,0.008580365257206526
-1.7999999999999998,-2.0,0.008798060410121683
-1.7499999999999998,-2.0,0.009020725002888778
-1.6999999999999997,-2.0,0.009248262300072465
-1.6499999999999997,-2.0,0.00948054345322053
-1.5999999999999996,-2.0,0.009717404167198351
-1.5499999999999996,-2.0,0.009958641239100742
-1.4999999999999996,-2.0,0.010204009003874125
-1.4499999999999995,-2.0,0.010453215730645074
-1.3999999999999995,-2.0,0.01070592002479494
-1.3499999999999994,-2.0,0.010961727302950093
-1.2999999999999994,-2.0,0.01122018642109265
-1.2499999999999993,-2.0,0.011480786549653597
-1.1999999999999993,-2.0,0.011742954403321371
-1.1499999999999992,-2.0,0.012006051946836079
-1.0999999999999992,-2.0,0.012269374710541237
-1.0499999999999992,-2.0,0.012532150860071634
-0.9999999999999991,-2.0,0.012793541172255066
-0.9499999999999991,-2.0,0.013052640072953352
-0.899999999999999,-2.0,0.013308477890928878
-0.849999999999999,-2.0,0.01356002447363226
-0.7999999999999989,-2.0,0.013806194294859122
-0.7499999999999989,-2.0,0.01404585315948296
-0.6999999999999988,-2.0,0.014277826576205098
-0.6499999999999988,-2.0,0.014500909825188861
-0.5999999999999988,-2.0,0.014713879693881595
-0.5499999999999987,-2.0,0.014915507792325925
-0.49999999999999867,-2.0,0.015104575290704707
-0.4499999999999986,-2.0,0.015279888849509943
-0.3999999999999986,-2.0,0.015440297440165942
-0.34999999999999853,-2.0,0.015584709685459637
-0.2999999999999985,-2.0,0.01571211128948079
-0.24999999999999845,-2.0,0.01582158208080781
-0.1999999999999984,-2.0,0.015912312164939157
-0.14999999999999836,-2.0,0.01598361667624054
-0.09999999999999831,-2.0,0.016034948638502033
-0.04999999999999827,-2.0,0.016065909487516173
1.7763568394002505e-15,-2.0,0.01607625687796923
0.0500000000000016,-2.0,0.016065909487516166
0.10000000000000187,-2.0,0.016034948638502026
0.15000000000000213,-2.0,0.01598361667624053
0.20000000000000195,-2.0,0.015912312164939154
0.2500000000000018,-2.0,0.015821582080807806
0.30000000000000204,-2.0,0.015712111289480787
0.3500000000000023,-2.0,0.015584709685459627
0.40000000000000213,-2.0,0.015440297440165934
0.45000000000000195,-2.0,0.015279888849509933
0.5000000000000022,-2.0,0.015104575290704693
0.5500000000000025,-2.0,0.014915507792325908
0.6000000000000023,-2.0,0.014713879693881575
0.6500000000000021,-2.0,0.014500909825188844
0.7000000000000024,-2.0,0.01427782657620508
0.7500000000000027,-2.0,0.01404585315948294
0.8000000000000025,-2.0,0.013806194294859107
0.8500000000000023,-2.0,0.013560024473632248
0.9000000000000026,-2.0,0.01330847789092886
0.9500000000000028,-2.0,0.01305264007295333
1.0000000000000027,-2.0,0.012793541172255044
1.0500000000000025,-2.0,0.012532150860071617
1.1000000000000028,-2.0,0.012269374710541217
1.150000000000003,-2.0,0.012006051946836061
1.2000000000000028,-2.0,0.01174295440332135
1.2500000000000027,-2.0,0.01148078654965358
1.300000000000003,-2.0,0.011220186421092631
1.3500000000000032,-2.0,0.010961727302950072
1.400000000000003,-2.0,0.010705920024794919
1.4500000000000028,-2.0,0.010453215730645058
1.500000000000003,-2.0,0.01020400900387411
1.5500000000000034,-2.0,0.009958641239100723
1.6000000000000032,-2.0,0.009717404167198332
1.650000000000003,-2.0,0.009480543453220516
1.7000000000000033,-2.0,0.009248262300072448
1.7500000000000036,-2.0,0.00902072500288876
1.8000000000000034,-2.0,0.008798060410121666
1.8500000000000032,-2.0,0.008580365257206513
1.9000000000000035,-2.0,0.008367707347325283
1.9500000000000037,-2.0,0.00816012856125461
2.0000000000000036,-2.0,0.00795764768462038
-2.0,-1.95,0.008158011083895121
-1.95,-1.95,0.008370952882214065
-1.9,-1.95,0.00858954109941117
-1.8499999999999999,-1.95,0.008813778023725334
-1.7999999999999998,-1.95,0.009043642092859185
-1.7499999999999998,-1.95,0.009279084732660267
-1.6999999999999997,-1.95,0.009520026963298654
-1.6499999999999997,-1.95,0.0097663557811127
-1.5999999999999996,-1.95,0.01001792033118893
-1.5499999999999996,-1.95,0.01027452789403845
-1.4999999999999996,-1.95,0.010535939719541634
-1.4499999999999995,-1.95,0.010801866752731233
-1.3999999999999995,-1.95,0.011071965308994711
-1.3499999999999994,-1.95,0.011345832770851409
-1.2999999999999994,-1.95,0.011623003394452354
-1.2499999999999993,-1.95,0.011902944331090348
-1.1999999999999993,-1.95,0.012185051986873356
-1.1499999999999992,-1.95,0.012468648861703832
-1.0999999999999992,-1.95,0.012752981026015856
-1.0499999999999992,-1.95,0.01303721640932694
-0.9999999999999991,-1.95,0.013320444087315631
-0.9499999999999991,-1.95,0.013601674762384159
-0.899999999999999,-1.95,0.013879842634883477
-0.849999999999999,-1.95,0.01415380885664206
-0.7999999999999989,-1.95,0.014422366743430316
-0.7499999999999989,-1.95,0.01468424889693706
-0.6999999999999988,-1.95,0.01493813634848315
-0.6499999999999988,-1.95,0.015182669785328808
-0.5999999999999988,-1.95,0.015416462856068004
-0.5499999999999987,-1.95,0.015638117475223125
-0.49999999999999867,-1.95,0.015846240960855948
-0.4499999999999986,-1.95,0.016039464746120467
-0.3999999999999986,-1.95,0.016216464310735264
-0.34999999999999853,-1.95,0.016375979886954124
-0.2999999999999985,-1.95,0.016516837413136556
-0.24999999999999845,-1.95,0.01663796914315331
-0.1999999999999984,-1.95,0.016738433278021946
-0.14999999999999836,-1.95,0.016817431972836087
-0.09999999999999831,-1.95,0.016874327091106128
-0.04999999999999827,-1.95,0.016908653131758006
1.7763568394002505e-15,-1.95,0.016920126840334393
0.0500000000000016,-1.95,0.016908653131758006
0.10000000000000187,-1.95,0.016874327091106124
0.15000000000000213,-1.95,0.016817431972836083
0.20000000000000195,-1.95,0.01673843327802194
0.2500000000000018,-1.95,0.016637969143153304
0.30000000000000204,-1.95,0.016516837413136545
0.3500000000000023,-1.95,0.016375979886954113
0.40000000000000213,-1.95,0.01621646431073525
0.45000000000000195,-1.95,0.016039464746120453
0.5000000000000022,-1.95,0.015846240960855934
0.5500000000000025,-1.95,0.015638117475223107
0.6000000000000023,-1.95,0.01541646285606799
0.6500000000000021,-1.95,0.015182669785328793
0.7000000000000024,-1.95,0.014938136348483132
0.7500000000000027,-1.95,0.014684248896937044
0.8000000000000025,-1.95,0.0144223667434303
0.8500000000000023,-1.95,0.01415380885664204
0.9000000000000026,-1.95,0.013879842634883455
0.9500000000000028,-1.95,0.013601674762384134
1.0000000000000027,-1.95,0.013320444087315612
1.0500000000000025,-1.95,0.013037216409326917
1.1000000000000028,-1.95,0.012752981026015832
1.150000000000003,-1.95,0.01246864886170381
1.2000000000000028,-1.95,0.012185051986873334
1.2500000000000027,-1.95,0.011902944331090333
1.300000000000003,-1.95,0.011623003394452337
1.3500000000000032,-1.95,0.011345832770851388
1.400000000000003,-1.95,0.011071965308994692
1.4500000000000028,-1.95,0.010801866752731218
1.500000000000003,-1.95,0.010535939719541615
1.5500000000000034,-1.95,0.010274527894038429
1.6000000000000032,-1.95,0.010017920331188914
1.650000000000003,-1.95,0.00976635578111268
1.7000000000000033,-1.95,0.00952002696329864
1.7500000000000036,-1.95,0.009279084732660252
1.8000000000000034,-1.95,0.009043642092859164
1.8500000000000032,-1.95,0.008813778023725316
1.9000000000000035,-1.95,0.008589541099411152
1.9500000000000037,-1.95,0.00837095288221405
2.0000000000000036,-1.95,0.008158011083895106
-2.0,-1.9,0.008363200603964437
-1.95,-1.9,0.008587134034642365
-1.9,-1.9,0.008817313054938877
-1.8499999999999999,-1.9,0.009053765164576722
-1.7999999999999998,-1.9,0.009296493460540895
-1.7499999999999998,-1.9,0.009545473121519613
-1.6999999999999997,-1.9,0.009800647601503778
-1.6499999999999997,-1.9,0.010061924535711277
-1.5999999999999996,-1.9,0.010329171369347731
-1.5499999999999996,-1.9,0.010602210728770416
-1.4999999999999996,-1.9,0.01088081556556726
-1.4499999999999995,-1.9,0.011164704117049699
-1.3999999999999995,-1.9,0.011453534741787166
-1.3499999999999994,-1.9,0.011746900706106785
-1.2999999999999994,-1.9,0.012044325016861746
-1.2499999999999993,-1.9,0.01234525541701023
-1.1999999999999993,-1.9,0.012649059683234903
-1.1499999999999992,-1.9,0.012955021388338704
-1.0999999999999992,-1.9,0.013262336314580004
-1.0499999999999992,-1.9,0.013570109726267585
-0.9999999999999991,-1.9,0.01387735472931522
-0.9499999999999991,-1.9,0.014182991960235748
-0.899999999999999,-1.9,0.01448585085513017
-0.849999999999999,-1.9,0.014784672748283757
-0.7999999999999989,-1.9,0.015078116037611698
-0.7499999999999989,-1.9,0.015364763628080029
-0.6999999999999988,-1.9,0.015643132822355552
-0.6499999999999988,-1.9,0.015911687768898564
-0.5999999999999988,-1.9,0.01616885450099792
-0.5499999999999987,-1.9,0.01641303850657619
-0.49999999999999867,-1.9,0.01664264466018538
-0.4499999999999986,-1.9,0.016856099229392574
-0.3999999999999986,-1.9,0.017051873543398873
-0.34999999999999853,-1.9,0.017228508789545686
-0.2999999999999985,-1.9,0.017384641291902942
-0.24999999999999845,-1.9,0.01751902753463207
-0.1999999999999984,-1.9,0.01763056813035562
-0.14999999999999836,-1.9,0.017718329908329434
-0.09999999999999831,-1.9,0.017781565314697184
-0.04999999999999827,-1.9,0.017819728380424612
1.7763568394002505e-15,-1.9,0.017832486620940655
0.0500000000000016,-1.9,0.017819728380424605
0.10000000000000187,-1.9,0.01778156531469718
0.15000000000000213,-1.9,0.01771832990832943
0.20000000000000195,-1.9,0.017630568130355614
0.2500000000000018,-1.9,0.01751902753463206
0.30000000000000204,-1.9,0.01738464129190293
0.3500000000000023,-1.9,0.017228508789545672
0.40000000000000213,-1.9,0.017051873543398856
0.45000000000000195,-1.9,0.01685609922939256
0.5000000000000022,-1.9,0.01664264466018536
0.5500000000000025,-1.9,0.01641303850657617
0.6000000000000023,-1.9,0.0161688545009979
0.6500000000000021,-1.9,0.015911687768898546
0.7000000000000024,-1.9,0.015643132822355528
0.7500000000000027,-1.9,0.01536476362808001
0.8000000000000025,-1.9,0.015078116037611677
0.8500000000000023,-1.9,0.014784672748283741
0.9000000000000026,-1.9,0.014485850855130147
0.9500000000000028,-1.9,0.014182991960235723
1.0000000000000027,-1.9,0.013877354729315197
1.0500000000000025,-1.9,0.013570109726267564
1.1000000000000028,-1.9,0.013262336314579981
1.150000000000003,-1.9,0.012955021388338674
1.2000000000000028,-1.9,0.01264905968323488
1.2500000000000027,-1.9,0.01234525541701021
1.300000000000003,-1.9,0.012044325016861724
1.3500000000000032,-1.9,0.011746900706106761
1.400000000000003,-1.9,0.011453534741787147
1.4500000000000028,-1.9,0.01116470411704968
1.500000000000003,-1.9,0.01088081556556724
1.5500000000000034,-1.9,0.010602210728770396
1.6000000000000032,-1.9,0.01032917136934771
1.650000000000003,-1.9,0.01006192453571126
1.7000000000000033,-1.9,0.00980064760150376
1.7500000000000036,-1.9,0.009545473121519592
1.8000000000000034,-1.9,0.009296493460540877
1.8500000000000032,-1.9,0.009053765164576707
1.9000000000000035,-1.9,0.00881731305493886
1.9500000000000037,-1.9,0.008587134034642348
2.0000000000000036,-1.9,0.00836320060396442
-2.0,-1.8499999999999999,0.008573173206312455
-1.95,-1.8499999999999999,0.008808646807955284
-1.9,-1.8499999999999999,0.009051019666717487
-1.8499999999999999,-1.8499999999999999,0.009300349200944136
-1.7999999999999998,-1.8499999999999999,0.009556668142314938
-1.7499999999999998,-1.8499999999999999,0.009819980649692561
-1.6999999999999997,-1.8499999999999999,0.010090258064620458
-1.6499999999999997,-1.8499999999999999,0.010367434304793057
-1.5999999999999996,-1.8499999999999999,0.010651400899439492
-1.5499999999999996,-1.8499999999999999,0.010942001680227636
-1.4999999999999996,-1.8499999999999999,0.01123902715327918
-1.4499999999999995,-1.8499999999999999,0.0115422085924401
-1.3999999999999995,-1.8499999999999999,0.011851211911283176
-1.3499999999999994,-1.8499999999999999,0.012165631391564033
-1.2999999999999994,-1.8499999999999999,0.01248498336903121
-1.2499999999999993,-1.8499999999999999,0.012808700003466277
-1.1999999999999993,-1.8499999999999999,0.013136123288250494
-1.1499999999999992,-1.8499999999999999,0.013466499484996834
-1.0999999999999992,-1.8499999999999999,0.013798974199892622
-1.0499999999999992,-1.8499999999999999,0.014132588349021964
-0.9999999999999991,-1.8499999999999999,0.014466275288295026
-0.9499999999999991,-1.8499999999999999,0.014798859407463944
-0.899999999999999,-1.8499999999999999,0.015129056504368599
-0.849999999999999,-1.8499999999999999,0.015455476261968134
-0.7999999999999989,-1.8499999999999999,0.01577662714356467
-0.7499999999999989,-1.8499999999999999,0.016090923997563282
-0.6999999999999988,-1.8499999999999999,0.01639669861903898
-0.6499999999999988,-1.8499999999999999,0.016692213448828052
-0.5999999999999988,-1.8499999999999999,0.016975678500429033
-0.5499999999999987,-1.8499999999999999,0.01724527149083218
-0.49999999999999867,-1.8499999999999999,0.01749916101563318
-0.4499999999999986,-1.8499999999999999,0.01773553245591422
