Position (x),Wave Amplitude (Psi)
-3.0,0.0024787521766663585
-2.993987975951904,0.002508736718587014
-2.987975951903808,0.0025390839723441554
-2.9819639278557113,0.002569798325527786
-2.975951903807615,0.002600884218802945
-2.969939879759519,0.0026323461465517493
-2.963927855711423,0.00266418865752318
-2.9579158316633265,0.002696416355490744
-2.9519038076152304,0.0027290338999180733
-2.9458917835671343,0.002762046006632603
-2.9398797595190382,0.002795457448507376
-2.9338677354709417,0.0028292730561511035
-2.9278557114228456,0.002863497718606564
-2.9218436873747495,0.0028981363840574737
-2.9158316633266534,0.002933194060543881
-2.909819639278557,0.0029686758166862343
-2.903807615230461,0.0030045867824181854
-2.8977955911823647,0.0030409321497282924
-2.8917835671342687,0.003077717173410662
-2.8857715430861726,0.003114947171824689
-2.879759519038076,0.0031526275276639822
-2.87374749498998,0.0031907636887345842
-2.867735470941884,0.003229361168742625
-2.8617234468937878,0.0032684255480914825
-2.8557114228456912,0.003307962474688598
-2.849699398797595,0.0033479776647620373
-2.843687374749499,0.0033884769036869574
-2.837675350701403,0.0034294660468220397
-2.8316633266533064,0.0034709510203560635
-2.8256513026052104,0.003512937822164697
-2.8196392785571143,0.003555432522677685
-2.813627254509018,0.0035984412657564975
-2.8076152304609217,0.0036419702695826123
-2.8016032064128256,0.0036860258275565228
-2.7955911823647295,0.003730614309207653
-2.7895791583166334,0.003775742161115251
-2.7835671342685373,0.0038214159078404303
-2.7775551102204408,0.0038676421528694967
-2.7715430861723447,0.003914427579568658
-2.7655310621242486,0.003961778952150325
-2.7595190380761525,0.004009703116651064
-2.753507014028056,0.004058207001921397
-2.74749498997996,0.004107297620627564
-2.741482965931864,0.004156982070265425
-2.7354709418837677,0.004207267534186598
-2.729458917835671,0.0042581612826370395
-2.723446893787575,0.004309670673808148
-2.717434869739479,0.004361803154900635
-2.711422845691383,0.004414566263201223
-2.7054108216432864,0.0044679676271723884
-2.6993987975951903,0.004522014967555265
-2.693386773547094,0.004576716098485928
-2.687374749498998,0.004632078928625143
-2.681362725450902,0.004688111462301801
-2.6753507014028055,0.00474482180067018
-2.6693386773547094,0.0048022181428811934
-2.6633266533066133,0.00486030878726784
-2.657314629258517,0.004919102132544967
-2.6513026052104207,0.004978606679023529
-2.6452905811623246,0.005038831029839593
-2.6392785571142285,0.005099783892198153
-2.6332665330661325,0.005161474078632019
-2.627254509018036,0.005223910508275934
-2.62124248496994,0.005287102208156078
-2.6152304609218437,0.005351058314495218
-2.6092184368737477,0.005415788074033599
-2.603206412825651,0.005481300845365849
-2.597194388777555,0.00554760610029401
-2.591182364729459,0.005614713425197003
-2.585170340681363,0.005682632522416599
-2.579158316633267,0.005751373211660184
-2.5731462925851702,0.0058209454314204915
-2.567134268537074,0.0058913592404124865
-2.561122244488978,0.005962624819027676
-2.5551102204408815,0.006034752470805975
-2.5490981963927855,0.006107752623925363
-2.5430861723446894,0.006181635832709625
-2.5370741482965933,0.006256412779154262
-2.531062124248497,0.006332094274470898
-2.5250501002004007,0.006408691260650363
-2.5190380761523046,0.006486214812044655
-2.5130260521042085,0.006564676136968106
-2.5070140280561124,0.006644086579317842
-2.501002004008016,0.006724457620213897
-2.49498997995992,0.006805800879659117
-2.4889779559118237,0.006888128118219215
-2.4829659318637276,0.00697145123872308
-2.4769539078156315,0.0070557822879836925
-2.470941883767535,0.007141133458539843
-2.464929859719439,0.007227517090418911
-2.458917835671343,0.007314945672921005
-2.4529058116232463,0.007403431846424649
-2.44689378757515,0.007492988404214297
-2.440881763527054,0.007583628294330021
-2.434869739478958,0.0076753646214395045
-2.428857715430862,0.0077682106487327145
-2.4228456913827654,0.007862179799839497
-2.4168336673346693,0.007957285660770325
